rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11
"Dexter, Emily R.","Weinstein, David J.","Rojas Villareal, Jose Luis","Lim, Christopher",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Allen, Ruth Ryan","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Dexter, Emily R.","Fantini, Alfred B.","Lim, Christopher",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstain, Rachel","Lim, Christopher","Bowman, Mannika L.","Dawson, Bernette J.","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Allen, Ruth Ryan","Rojas Villareal, Jose Luis","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Lim, Christopher","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kadete, Elechi M.","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Fantini, Alfred B.","Rojas Villareal, Jose Luis",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Weinstein, David J.","Wilson, Ayesha","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstain, Rachel","Wilson, Ayesha","Lim, Christopher",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Rojas Villareal, Jose Luis","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Allen, Ruth Ryan","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kadete, Elechi M.","Wilson, Ayesha","Dexter, Emily R.","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,"Allen, Ruth Ryan",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Weinstain, Rachel","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Dawson, Bernette J.","Lim, Christopher",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kadete, Elechi M.","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Bowman, Mannika L.","Dexter, Emily R.","Rojas Villareal, Jose Luis","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped
"Rojas Villareal, Jose Luis","Kadete, Elechi M.","Dexter, Emily R.","Dawson, Bernette J.","Bowman, Mannika L.","Allen, Ruth Ryan","Wilson, Ayesha","Weinstain, Rachel","Fantini, Alfred B.","Lim, Christopher","Weinstein, David J."
"Rojas Villareal, Jose Luis","Lim, Christopher","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstain, Rachel","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Allen, Ruth Ryan","Lim, Christopher","Kadete, Elechi M.","Dawson, Bernette J.","Weinstain, Rachel","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Rojas Villareal, Jose Luis","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Allen, Ruth Ryan","Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kadete, Elechi M.","Wilson, Ayesha","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Rojas Villareal, Jose Luis","Dexter, Emily R.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Lim, Christopher","Weinstain, Rachel","Bowman, Mannika L.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped
"Rojas Villareal, Jose Luis","Bowman, Mannika L.","Lim, Christopher","Dexter, Emily R.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Dexter, Emily R.","Fantini, Alfred B.","Rojas Villareal, Jose Luis","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Dexter, Emily R.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Rojas Villareal, Jose Luis","Kadete, Elechi M.","Lim, Christopher","Bowman, Mannika L.","Dexter, Emily R.","Fantini, Alfred B.","Wilson, Ayesha",skipped,skipped,skipped,skipped
"Wilson, Ayesha","Bowman, Mannika L.","Kadete, Elechi M.","Allen, Ruth Ryan","Lim, Christopher","Dawson, Bernette J.","Dexter, Emily R.","Fantini, Alfred B.",skipped,skipped,skipped
"Lim, Christopher",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Fantini, Alfred B.","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kadete, Elechi M.","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kadete, Elechi M.","Fantini, Alfred B.","Wilson, Ayesha","Allen, Ruth Ryan","Rojas Villareal, Jose Luis",skipped,skipped,skipped,skipped,skipped,skipped
"Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Dexter, Emily R.","Dawson, Bernette J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Bowman, Mannika L.","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Kadete, Elechi M.","Allen, Ruth Ryan",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Kadete, Elechi M.","Rojas Villareal, Jose Luis","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Wilson, Ayesha","Dawson, Bernette J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Lim, Christopher","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Dexter, Emily R.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.",skipped,"Allen, Ruth Ryan",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Rojas Villareal, Jose Luis","Allen, Ruth Ryan","Wilson, Ayesha","Weinstain, Rachel","Weinstein, David J.","Lim, Christopher","Kadete, Elechi M.","Fantini, Alfred B.","Dexter, Emily R.","Dawson, Bernette J.","Bowman, Mannika L."
"Rojas Villareal, Jose Luis","Dexter, Emily R.","Kadete, Elechi M.","Lim, Christopher","Fantini, Alfred B.","Weinstain, Rachel","Weinstein, David J.","Dawson, Bernette J.","Allen, Ruth Ryan","Wilson, Ayesha","Bowman, Mannika L."
"Rojas Villareal, Jose Luis",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Rojas Villareal, Jose Luis","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Bowman, Mannika L.","Weinstain, Rachel","Lim, Christopher","Weinstein, David J.","Kadete, Elechi M.","Fantini, Alfred B.","Dawson, Bernette J.",skipped,skipped,skipped
"Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Weinstain, Rachel","Allen, Ruth Ryan","Bowman, Mannika L.","Dawson, Bernette J.","Dexter, Emily R.","Fantini, Alfred B.","Kadete, Elechi M.","Lim, Christopher","Rojas Villareal, Jose Luis","Weinstein, David J."
"Wilson, Ayesha","Weinstain, Rachel","Rojas Villareal, Jose Luis","Dawson, Bernette J.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstain, Rachel","Wilson, Ayesha","Lim, Christopher","Allen, Ruth Ryan","Fantini, Alfred B.","Dawson, Bernette J.","Kadete, Elechi M.","Rojas Villareal, Jose Luis","Weinstein, David J.","Bowman, Mannika L.","Dexter, Emily R."
"Kadete, Elechi M.","Fantini, Alfred B.","Dexter, Emily R.","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Bowman, Mannika L.","Lim, Christopher",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dawson, Bernette J.","Bowman, Mannika L.","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Dexter, Emily R.","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Kadete, Elechi M.","Lim, Christopher","Fantini, Alfred B.","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Dexter, Emily R.","Fantini, Alfred B.","Allen, Ruth Ryan","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped
"Rojas Villareal, Jose Luis",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Kadete, Elechi M.","Fantini, Alfred B.","Wilson, Ayesha","Rojas Villareal, Jose Luis","Dexter, Emily R.","Lim, Christopher",skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Lim, Christopher","Wilson, Ayesha","Rojas Villareal, Jose Luis","Weinstain, Rachel","Dawson, Bernette J.",skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Fantini, Alfred B.","Bowman, Mannika L.","Lim, Christopher","Kadete, Elechi M.","Rojas Villareal, Jose Luis","Weinstein, David J.","Weinstain, Rachel","Dawson, Bernette J.","Wilson, Ayesha","Allen, Ruth Ryan"
"Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstein, David J.","Rojas Villareal, Jose Luis","Weinstain, Rachel","Lim, Christopher","Kadete, Elechi M.","Allen, Ruth Ryan",skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Lim, Christopher","Kadete, Elechi M.","Dexter, Emily R.","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Fantini, Alfred B.","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kadete, Elechi M.","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Dawson, Bernette J.","Lim, Christopher","Rojas Villareal, Jose Luis","Allen, Ruth Ryan","Bowman, Mannika L.","Fantini, Alfred B.","Weinstein, David J.","Wilson, Ayesha","Weinstain, Rachel","Kadete, Elechi M."
"Wilson, Ayesha","Dawson, Bernette J.","Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Bowman, Mannika L.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Dexter, Emily R.","Allen, Ruth Ryan","Dawson, Bernette J.","Weinstain, Rachel","Wilson, Ayesha","Rojas Villareal, Jose Luis","Kadete, Elechi M.","Lim, Christopher","Fantini, Alfred B.","Weinstein, David J."
"Kadete, Elechi M.","Allen, Ruth Ryan",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dawson, Bernette J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Dawson, Bernette J.","Bowman, Mannika L.","Fantini, Alfred B.","Weinstain, Rachel","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Fantini, Alfred B.","Bowman, Mannika L.","Dawson, Bernette J.","Kadete, Elechi M.","Lim, Christopher","Rojas Villareal, Jose Luis","Weinstain, Rachel","Weinstein, David J.","Wilson, Ayesha","Allen, Ruth Ryan"
"Wilson, Ayesha","Bowman, Mannika L.","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Rojas Villareal, Jose Luis","Fantini, Alfred B.","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Dexter, Emily R.","Bowman, Mannika L.","Rojas Villareal, Jose Luis","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped
"Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Rojas Villareal, Jose Luis","Bowman, Mannika L.","Dexter, Emily R.","Fantini, Alfred B.","Lim, Christopher",skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Lim, Christopher","Kadete, Elechi M.","Bowman, Mannika L.","Rojas Villareal, Jose Luis","Dawson, Bernette J.","Allen, Ruth Ryan","Fantini, Alfred B.","Weinstain, Rachel","Weinstein, David J.",skipped
"Wilson, Ayesha","Fantini, Alfred B.","Allen, Ruth Ryan",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Rojas Villareal, Jose Luis","Lim, Christopher","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstain, Rachel","Fantini, Alfred B.","Wilson, Ayesha","Dexter, Emily R.","Dawson, Bernette J.","Rojas Villareal, Jose Luis",skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Kadete, Elechi M.","Bowman, Mannika L.","Dawson, Bernette J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kadete, Elechi M.","Bowman, Mannika L.","Lim, Christopher","Fantini, Alfred B.","Dexter, Emily R.","Rojas Villareal, Jose Luis","Wilson, Ayesha",skipped,skipped,skipped,skipped
"Wilson, Ayesha","Bowman, Mannika L.","Fantini, Alfred B.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Lim, Christopher","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dawson, Bernette J.","Wilson, Ayesha","Weinstain, Rachel","Allen, Ruth Ryan","Bowman, Mannika L.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Dexter, Emily R.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Dexter, Emily R.","Fantini, Alfred B.","Bowman, Mannika L.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Weinstein, David J.","Kadete, Elechi M.","Rojas Villareal, Jose Luis",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kadete, Elechi M.","Wilson, Ayesha","Bowman, Mannika L.","Fantini, Alfred B.","Lim, Christopher","Rojas Villareal, Jose Luis","Dexter, Emily R.",skipped,skipped,skipped,skipped
"Dexter, Emily R.","Lim, Christopher",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Bowman, Mannika L.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Fantini, Alfred B.","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Bowman, Mannika L.","Wilson, Ayesha","Weinstein, David J.","Weinstain, Rachel","Lim, Christopher","Rojas Villareal, Jose Luis","Dawson, Bernette J.","Kadete, Elechi M.","Allen, Ruth Ryan","Fantini, Alfred B."
"Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Allen, Ruth Ryan","Kadete, Elechi M.","Dexter, Emily R.","Fantini, Alfred B.","Lim, Christopher","Rojas Villareal, Jose Luis","Weinstein, David J.","Weinstain, Rachel","Wilson, Ayesha","Dawson, Bernette J."
"Dexter, Emily R.","Fantini, Alfred B.","Wilson, Ayesha","Dawson, Bernette J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Bowman, Mannika L.","Weinstain, Rachel","Fantini, Alfred B.","Wilson, Ayesha","Weinstein, David J.","Dawson, Bernette J.","Lim, Christopher","Rojas Villareal, Jose Luis","Kadete, Elechi M.","Allen, Ruth Ryan"
"Bowman, Mannika L.","Weinstain, Rachel","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Weinstain, Rachel","Lim, Christopher","Bowman, Mannika L.","Fantini, Alfred B.","Dawson, Bernette J.","Kadete, Elechi M.","Rojas Villareal, Jose Luis","Weinstein, David J.",skipped,skipped
"Wilson, Ayesha","Kadete, Elechi M.","Bowman, Mannika L.","Fantini, Alfred B.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped
"Rojas Villareal, Jose Luis",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Allen, Ruth Ryan","Bowman, Mannika L.","Lim, Christopher","Rojas Villareal, Jose Luis",skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Weinstain, Rachel","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Rojas Villareal, Jose Luis","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Fantini, Alfred B.","Dexter, Emily R.","Weinstain, Rachel","Lim, Christopher",skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Bowman, Mannika L.","Rojas Villareal, Jose Luis",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Kadete, Elechi M.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstain, Rachel","Allen, Ruth Ryan","Bowman, Mannika L.","Wilson, Ayesha","Dawson, Bernette J.","Fantini, Alfred B.","Dexter, Emily R.","Kadete, Elechi M.","Lim, Christopher","Rojas Villareal, Jose Luis","Weinstein, David J."
"Weinstein, David J.","Weinstain, Rachel","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Lim, Christopher","Fantini, Alfred B.","Bowman, Mannika L.","Weinstain, Rachel","Weinstein, David J.","Kadete, Elechi M.","Dawson, Bernette J.","Allen, Ruth Ryan",skipped,skipped,skipped
"Wilson, Ayesha","Weinstein, David J.","Kadete, Elechi M.","Rojas Villareal, Jose Luis","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Fantini, Alfred B.","Bowman, Mannika L.","Dawson, Bernette J.","Allen, Ruth Ryan","Lim, Christopher",skipped,skipped,skipped,skipped,skipped
"Kadete, Elechi M.","Lim, Christopher","Weinstein, David J.","Wilson, Ayesha","Bowman, Mannika L.","Dexter, Emily R.","Rojas Villareal, Jose Luis","Weinstain, Rachel","Allen, Ruth Ryan","Dawson, Bernette J.",skipped
"Dawson, Bernette J.","Kadete, Elechi M.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Kadete, Elechi M.","Rojas Villareal, Jose Luis","Dexter, Emily R.","Bowman, Mannika L.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Fantini, Alfred B.","Wilson, Ayesha","Rojas Villareal, Jose Luis",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Kadete, Elechi M.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,"Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Dawson, Bernette J.","Dexter, Emily R.","Lim, Christopher","Weinstein, David J.","Wilson, Ayesha","Rojas Villareal, Jose Luis",skipped,skipped,skipped,skipped
"Wilson, Ayesha","Dawson, Bernette J.","Dexter, Emily R.","Kadete, Elechi M.","Rojas Villareal, Jose Luis","Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Dawson, Bernette J.","Fantini, Alfred B.","Dexter, Emily R.","Kadete, Elechi M.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped
skipped,"Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Wilson, Ayesha","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Lim, Christopher","Weinstain, Rachel","Wilson, Ayesha","Bowman, Mannika L.","Dawson, Bernette J.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Rojas Villareal, Jose Luis","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kadete, Elechi M.","Bowman, Mannika L.","Fantini, Alfred B.","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstein, David J.","Bowman, Mannika L.","Dexter, Emily R.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Dawson, Bernette J.","Weinstain, Rachel","Weinstein, David J.","Dexter, Emily R.","Bowman, Mannika L.","Lim, Christopher","Rojas Villareal, Jose Luis","Fantini, Alfred B.","Kadete, Elechi M.","Allen, Ruth Ryan"
"Bowman, Mannika L.","Dawson, Bernette J.","Weinstein, David J.","Wilson, Ayesha","Allen, Ruth Ryan","Weinstain, Rachel","Fantini, Alfred B.",skipped,skipped,skipped,skipped
"Weinstain, Rachel","Dawson, Bernette J.","Fantini, Alfred B.","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kadete, Elechi M.","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Bowman, Mannika L.","Fantini, Alfred B.","Kadete, Elechi M.","Lim, Christopher",skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,"Bowman, Mannika L.","Wilson, Ayesha","Dexter, Emily R.",skipped
"Dawson, Bernette J.","Dexter, Emily R.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kadete, Elechi M.","Bowman, Mannika L.","Dexter, Emily R.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Kadete, Elechi M.","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dawson, Bernette J.","Wilson, Ayesha","Weinstein, David J.","Kadete, Elechi M.","Lim, Christopher","Bowman, Mannika L.","Weinstain, Rachel","Dexter, Emily R.","Fantini, Alfred B.","Rojas Villareal, Jose Luis","Allen, Ruth Ryan"
"Kadete, Elechi M.","Weinstein, David J.","Weinstain, Rachel","Dawson, Bernette J.","Dexter, Emily R.","Allen, Ruth Ryan",skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Dexter, Emily R.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kadete, Elechi M.","Dawson, Bernette J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstain, Rachel","Fantini, Alfred B.","Dexter, Emily R.","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kadete, Elechi M.","Dawson, Bernette J.","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Dawson, Bernette J.","Wilson, Ayesha","Kadete, Elechi M.","Lim, Christopher","Rojas Villareal, Jose Luis",skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Allen, Ruth Ryan","Dawson, Bernette J.","Weinstain, Rachel","Kadete, Elechi M.","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Dexter, Emily R.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Kadete, Elechi M.","Dawson, Bernette J.","Rojas Villareal, Jose Luis","Wilson, Ayesha","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Dexter, Emily R.","Fantini, Alfred B.","Dawson, Bernette J.","Wilson, Ayesha","Allen, Ruth Ryan","Weinstain, Rachel","Weinstein, David J.","Rojas Villareal, Jose Luis","Lim, Christopher","Kadete, Elechi M."
"Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
