state,jurisdiction,year,date,office,notes,exhaust_on_overvote_marks,exhaust_on_N_repeated_skipped_marks,exhaust_on_duplicate_candidate_marks,exclude_writein_marks,combine_writein_marks,treat_combined_writeins_as_exhaustable_duplicates,multi_winner_rounds,n_winners,rcv_type,bottoms_up_threshold,split_fields,parser_func,cvr_path,extra_parser_args,ignore_contest
,Alaska PLACEHOLDER,2022,11/08/2022,HouseDistrict34.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Alaska_11082022_HouseDistrict34.csv,,FALSE
,Alaska PLACEHOLDER,2022,11/08/2022,HouseDistrict20.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Alaska_11082022_HouseDistrict20.csv,,FALSE
,Kansas PLACEHOLDER,2020,05/02/2020,PRESIDENTOFTHEUNITEDSTATES.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Kansas_05022020_PRESIDENTOFTHEUNITEDSTATES.csv,,FALSE
,Hawaii PLACEHOLDER,2020,05/23/2020,PresidentoftheUnitedStateCD2.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Hawaii_05232020_PresidentoftheUnitedStateCD2.csv,,FALSE
,NewYorkCity PLACEHOLDER,2021,06/22/2021,DEMCouncilMember28thCouncilDistrict.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/NewYorkCity_06222021_DEMCouncilMember28thCouncilDistrict.csv,,FALSE
,Minneapolis PLACEHOLDER,2017,11/07/2017,Ward1CityCouncil.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Minneapolis_11072017_Ward1CityCouncil.csv,,FALSE
,Minneapolis PLACEHOLDER,2009,11/06/2009,PRBoardDistrict5.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Minneapolis_11062009_PRBoardDistrict5.csv,,FALSE
,NewYorkCity PLACEHOLDER,2021,06/22/2021,DEMCouncilMember15thCouncilDistrict.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/NewYorkCity_06222021_DEMCouncilMember15thCouncilDistrict.csv,,FALSE
,Minneapolis PLACEHOLDER,2009,11/06/2009,PRBoardDistrict4.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Minneapolis_11062009_PRBoardDistrict4.csv,,FALSE
,Minneapolis PLACEHOLDER,2017,11/07/2017,Ward9CityCouncil.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Minneapolis_11072017_Ward9CityCouncil.csv,,FALSE
,SanFrancisco PLACEHOLDER,2016,11/08/2016,BoardofSupervisorsDistrict5.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/SanFrancisco_11082016_BoardofSupervisorsDistrict5.csv,,FALSE
,Burlington PLACEHOLDER,2023,03/07/2023,CityCouncilEastDistrict.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Burlington_03072023_CityCouncilEastDistrict.csv,,FALSE
,SanFrancisco PLACEHOLDER,2018,11/06/2018,BoardofSupervisorsDistrict10.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/SanFrancisco_11062018_BoardofSupervisorsDistrict10.csv,,FALSE
,Alaska PLACEHOLDER,2022,11/08/2022,HouseDistrict21.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Alaska_11082022_HouseDistrict21.csv,,FALSE
,Alaska PLACEHOLDER,2022,11/08/2022,HouseDistrict35.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Alaska_11082022_HouseDistrict35.csv,,FALSE
,Portland PLACEHOLDER,2022,06/14/2022,SchoolboardAL-1.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Portland_06142022_SchoolboardAL-1.csv,,FALSE
,Portland PLACEHOLDER,2022,06/14/2022,Schoolboarddistrict5-1.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Portland_06142022_Schoolboarddistrict5-1.csv,,FALSE
,NewYorkCity PLACEHOLDER,2021,06/22/2021,DEMMayorCitywide.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/NewYorkCity_06222021_DEMMayorCitywide.csv,,FALSE
,Oakland PLACEHOLDER,2014,11/04/2014,SchoolDirectorDistrict4.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Oakland_11042014_SchoolDirectorDistrict4.csv,,FALSE
,SanFrancisco PLACEHOLDER,2005,11/08/2005,AssessorRecorder.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/SanFrancisco_11082005_AssessorRecorder.csv,,FALSE
,SanFrancisco PLACEHOLDER,2018,11/06/2018,BoardofSupervisorsDistrict8.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/SanFrancisco_11062018_BoardofSupervisorsDistrict8.csv,,FALSE
,Minneapolis PLACEHOLDER,2017,11/07/2017,Ward8CityCouncil.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Minneapolis_11072017_Ward8CityCouncil.csv,,FALSE
,Oakland PLACEHOLDER,2022,11/08/2022,CityAuditor.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Oakland_11082022_CityAuditor.csv,,FALSE
,Alaska PLACEHOLDER,2022,11/08/2022,HouseDistrict19.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Alaska_11082022_HouseDistrict19.csv,,FALSE
,Maine PLACEHOLDER,2018,11/06/2018,CongressionalDistrict2.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Maine_11062018_CongressionalDistrict2.csv,,FALSE
,Alaska PLACEHOLDER,2022,11/08/2022,HouseDistrict31.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Alaska_11082022_HouseDistrict31.csv,,FALSE
,Alaska PLACEHOLDER,2022,11/08/2022,HouseDistrict25.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Alaska_11082022_HouseDistrict25.csv,,FALSE
,SanFrancisco PLACEHOLDER,2016,11/08/2016,BoardofSupervisorsDistrict1.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/SanFrancisco_11082016_BoardofSupervisorsDistrict1.csv,,FALSE
,Berkeley PLACEHOLDER,2018,11/06/2018,CityCouncilDistrict7.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Berkeley_11062018_CityCouncilDistrict7.csv,,FALSE
,SanFrancisco PLACEHOLDER,2019,11/05/2019,CityAttorney.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/SanFrancisco_11052019_CityAttorney.csv,,FALSE
,Maine PLACEHOLDER,2018,06/12/2018,DemocraticPrimaryforCD2.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Maine_06122018_DemocraticPrimaryforCD2.csv,,FALSE
,Minneapolis PLACEHOLDER,2021,11/02/2021,Mayor.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Minneapolis_11022021_Mayor.csv,,FALSE
,NewYorkCity PLACEHOLDER,2021,06/22/2021,DEMCouncilMember46thCouncilDistrict.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/NewYorkCity_06222021_DEMCouncilMember46thCouncilDistrict.csv,,FALSE
,Minneapolis PLACEHOLDER,2009,11/06/2009,PRBoardDistrict1.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Minneapolis_11062009_PRBoardDistrict1.csv,,FALSE
,Oakland PLACEHOLDER,2010,11/02/2010,Mayor.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Oakland_11022010_Mayor.csv,,FALSE
,Alaska PLACEHOLDER,2022,11/08/2022,HouseDistrict24.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Alaska_11082022_HouseDistrict24.csv,,FALSE
,Maine PLACEHOLDER,2020,07/14/2020,DemocraticCandidateforMaineStateHouseDistrict41.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict41.csv,,FALSE
,Alaska PLACEHOLDER,2022,11/08/2022,HouseDistrict30.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Alaska_11082022_HouseDistrict30.csv,,FALSE
,Alaska PLACEHOLDER,2022,11/08/2022,HouseDistrict18.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Alaska_11082022_HouseDistrict18.csv,,FALSE
,NewYorkCity PLACEHOLDER,2021,06/22/2021,DEMBoroughPresidentKings.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/NewYorkCity_06222021_DEMBoroughPresidentKings.csv,,FALSE
,Minneapolis PLACEHOLDER,2021,11/02/2021,ParkBoardAtLarge.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Minneapolis_11022021_ParkBoardAtLarge.csv,,FALSE
,SantaFe PLACEHOLDER,2018,03/06/2018,CityCouncilDistrict2.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/SantaFe_03062018_CityCouncilDistrict2.csv,,FALSE
,NewYorkCity PLACEHOLDER,2021,06/22/2021,DEMCouncilMember31stCouncilDistrict.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/NewYorkCity_06222021_DEMCouncilMember31stCouncilDistrict.csv,,FALSE
