precincts,tally_type,ballotID,rank1,rank2,rank3
25-102,Absentee Voting,000077010,Al Rose,Carolyn Merrival,Joyce McDonald
25-102,Absentee Voting,000077011,Joyce McDonald,Joyce McDonald,Joyce McDonald
25-102,Absentee Voting,000077012,Al Rose,Carolyn Merrival,skipped
25-102,Absentee Voting,000077013,Carolyn Merrival,Al Rose,Joyce McDonald
25-102,Absentee Voting,000077014,Joyce McDonald,skipped,skipped
25-102,Absentee Voting,000077015,Joyce McDonald,skipped,skipped
25-102,Absentee Voting,000077016,Joyce McDonald,skipped,skipped
25-102,Absentee Voting,000077017,Carolyn Merrival,skipped,skipped
25-102,Absentee Voting,000077018,Al Rose,Carolyn Merrival,Joyce McDonald
25-102,Absentee Voting,000077019,Carolyn Merrival,Joyce McDonald,skipped
25-102,Absentee Voting,000077020,Carolyn Merrival,Al Rose,Joyce McDonald
25-102,Absentee Voting,000077021,Joyce McDonald,Al Rose,Carolyn Merrival
25-102,Absentee Voting,000077022,Al Rose,Joyce McDonald,Carolyn Merrival
25-102,Absentee Voting,000077023,Al Rose,skipped,skipped
25-102,Absentee Voting,000077024,Carolyn Merrival,Joyce McDonald,Al Rose
25-102,Absentee Voting,000077025,Joyce McDonald,skipped,skipped
25-102,Absentee Voting,000077026,Carolyn Merrival,Al Rose,Joyce McDonald
25-102,Absentee Voting,000077027,Al Rose,skipped,skipped
25-102,Absentee Voting,000077028,Joyce McDonald,Carolyn Merrival,Al Rose
25-102,Absentee Voting,000077029,Joyce McDonald,Carolyn Merrival,Al Rose
25-102,Absentee Voting,000077030,skipped,skipped,skipped
25-102,Absentee Voting,000077031,Joyce McDonald,skipped,skipped
25-102,Absentee Voting,000077032,Joyce McDonald,Al Rose,Carolyn Merrival
25-102,Absentee Voting,000077033,Carolyn Merrival,Al Rose,Joyce McDonald
25-102,Absentee Voting,000077034,Joyce McDonald,skipped,skipped
25-102,Absentee Voting,000077035,Joyce McDonald,Al Rose,Carolyn Merrival
25-102,Absentee Voting,000077036,Al Rose,Carolyn Merrival,Joyce McDonald
25-102,Absentee Voting,000077037,Carolyn Merrival,Joyce McDonald,Al Rose
25-102,Absentee Voting,000077038,Joyce McDonald,skipped,skipped
25-102,Absentee Voting,000077039,Carolyn Merrival,Al Rose,skipped
25-102,Absentee Voting,000077040,Joyce McDonald,Al Rose,Carolyn Merrival
25-102,Absentee Voting,000077041,Joyce McDonald,Joyce McDonald,Joyce McDonald
25-102,Absentee Voting,000077042,Carolyn Merrival,Al Rose,skipped
25-102,Absentee Voting,000077043,Al Rose,skipped,skipped
25-102,Absentee Voting,000077044,Carolyn Merrival,Al Rose,skipped
25-102,Absentee Voting,000077045,Carolyn Merrival,Al Rose,Joyce McDonald
25-102,Absentee Voting,000077046,Carolyn Merrival,Joyce McDonald,Al Rose
25-102,Absentee Voting,000077047,Joyce McDonald,Carolyn Merrival,Al Rose
25-102,Absentee Voting,000077048,Joyce McDonald,Carolyn Merrival,Al Rose
25-102,Absentee Voting,000077049,Joyce McDonald,Joyce McDonald,Joyce McDonald
25-102,Absentee Voting,000077050,Joyce McDonald,skipped,skipped
25-102,Absentee Voting,000077051,Joyce McDonald,skipped,skipped
25-102,Absentee Voting,000077052,Joyce McDonald,Joyce McDonald,Joyce McDonald
25-102,Absentee Voting,000077053,Carolyn Merrival,skipped,skipped
25-102,Absentee Voting,000077054,skipped,skipped,skipped
25-102,Absentee Voting,000077055,Al Rose,Joyce McDonald,Carolyn Merrival
25-102,Absentee Voting,000077056,Al Rose,Carolyn Merrival,Joyce McDonald
25-102,Absentee Voting,000077057,Al Rose,Carolyn Merrival,Joyce McDonald
25-102,Absentee Voting,000077058,Joyce McDonald,skipped,skipped
25-102,Absentee Voting,000077059,Carolyn Merrival,Al Rose,Joyce McDonald
25-102,Absentee Voting,000077060,Joyce McDonald,Carolyn Merrival,Al Rose
25-102,Absentee Voting,000077061,Joyce McDonald,Carolyn Merrival,Al Rose
25-102,Absentee Voting,000077062,Al Rose,Carolyn Merrival,skipped
25-102,Absentee Voting,000077063,Al Rose,Carolyn Merrival,Joyce McDonald
25-102,Absentee Voting,000077064,Carolyn Merrival,skipped,skipped
25-102,Absentee Voting,000077065,Joyce McDonald,skipped,skipped
25-102,Absentee Voting,000077066,Joyce McDonald,skipped,skipped
25-102,Absentee Voting,000077067,Joyce McDonald,skipped,skipped
25-102,Absentee Voting,000077068,Joyce McDonald,skipped,skipped
25-102,Absentee Voting,000077069,Al Rose,Carolyn Merrival,Joyce McDonald
25-102,Absentee Voting,000077070,Joyce McDonald,skipped,skipped
25-102,Absentee Voting,000077071,Joyce McDonald,Al Rose,skipped
25-102,Absentee Voting,000077072,Joyce McDonald,skipped,skipped
25-102,Absentee Voting,000077073,Carolyn Merrival,Al Rose,Joyce McDonald
25-102,Absentee Voting,000077074,Joyce McDonald,skipped,skipped
25-102,Absentee Voting,000077075,Joyce McDonald,skipped,skipped
25-102,Absentee Voting,000077076,Al Rose,Joyce McDonald,skipped
25-102,Absentee Voting,000077077,Al Rose,Carolyn Merrival,Joyce McDonald
25-102,Absentee Voting,000077078,Joyce McDonald,skipped,skipped
25-102,Absentee Voting,000077079,Carolyn Merrival,Al Rose,Joyce McDonald
25-102,Absentee Voting,000077080,Joyce McDonald,Carolyn Merrival,Al Rose
25-102,Absentee Voting,000077081,skipped,skipped,skipped
25-102,Absentee Voting,000077082,Al Rose,skipped,skipped
25-102,Absentee Voting,000077083,Carolyn Merrival,Al Rose,Joyce McDonald
25-102,Absentee Voting,000077084,Carolyn Merrival,Al Rose,writein
25-102,Absentee Voting,000077085,Carolyn Merrival,skipped,skipped
25-102,Absentee Voting,000077086,Carolyn Merrival,Al Rose,Joyce McDonald
25-102,Absentee Voting,000077087,Joyce McDonald,skipped,skipped
25-102,Absentee Voting,000077088,Joyce McDonald,skipped,skipped
25-102,Absentee Voting,000077089,Joyce McDonald,Carolyn Merrival,Al Rose
25-102,Absentee Voting,000077090,Al Rose,Joyce McDonald,skipped
25-102,Absentee Voting,000077091,Joyce McDonald,skipped,skipped
25-102,Absentee Voting,000077092,Carolyn Merrival,Al Rose,Joyce McDonald
25-102,Absentee Voting,000077093,Joyce McDonald,Carolyn Merrival,Al Rose
25-102,Absentee Voting,000077094,Al Rose,skipped,skipped
25-102,Absentee Voting,000077095,Joyce McDonald,Carolyn Merrival,Al Rose
25-102,Absentee Voting,000077096,Joyce McDonald,skipped,skipped
25-102,Absentee Voting,000077097,Carolyn Merrival,Al Rose,skipped
25-102,Absentee Voting,000077098,Al Rose,Carolyn Merrival,Joyce McDonald
25-102,Absentee Voting,000077099,Carolyn Merrival,Al Rose,Joyce McDonald
25-102,Absentee Voting,000077100,Joyce McDonald,skipped,skipped
25-102,Absentee Voting,000077101,Al Rose,Carolyn Merrival,Joyce McDonald
25-102,Absentee Voting,000077102,Al Rose,Joyce McDonald,Carolyn Merrival
25-102,Absentee Voting,000077103,Al Rose,Carolyn Merrival,Joyce McDonald
25-102,Absentee Voting,000077104,Carolyn Merrival,Al Rose,skipped
25-102,Absentee Voting,000077105,Joyce McDonald,skipped,skipped
25-102,Absentee Voting,000077106,Joyce McDonald,skipped,skipped
25-102,Absentee Voting,000077107,Joyce McDonald,Joyce McDonald,Joyce McDonald
25-102,Absentee Voting,000077108,Al Rose,Carolyn Merrival,Joyce McDonald
25-102,Absentee Voting,000077109,Joyce McDonald,skipped,skipped
25-102,Absentee Voting,000077110,Al Rose,Joyce McDonald,Carolyn Merrival
25-102,Absentee Voting,000077111,Al Rose,skipped,skipped
25-102,Absentee Voting,000077112,Carolyn Merrival,Al Rose,Joyce McDonald
25-102,Absentee Voting,000077113,Al Rose,Carolyn Merrival,Joyce McDonald
25-102,Absentee Voting,000077114,Joyce McDonald,Al Rose,Carolyn Merrival
25-102,Absentee Voting,000077115,Al Rose,Carolyn Merrival,skipped
25-102,Absentee Voting,000077116,Al Rose,skipped,skipped
25-102,Absentee Voting,000077117,Joyce McDonald,skipped,skipped
25-102,Absentee Voting,000077118,Joyce McDonald,skipped,skipped
25-102,Absentee Voting,000077119,Al Rose,Joyce McDonald,skipped
25-102,Absentee Voting,000077120,Al Rose,Carolyn Merrival,skipped
25-102,Absentee Voting,000077121,Joyce McDonald,skipped,skipped
25-102,Absentee Voting,000077122,Al Rose,skipped,skipped
25-102,Absentee Voting,000077123,Joyce McDonald,Carolyn Merrival,skipped
25-102,Absentee Voting,000077124,Al Rose,Carolyn Merrival,Joyce McDonald
25-102,Absentee Voting,000077125,Al Rose,skipped,skipped
25-102,Absentee Voting,000077126,Al Rose,Carolyn Merrival,Joyce McDonald
25-103,Absentee Voting,000077127,Joyce McDonald,skipped,skipped
25-103,Absentee Voting,000077128,Joyce McDonald,skipped,skipped
25-103,Absentee Voting,000077129,Joyce McDonald,skipped,skipped
25-103,Absentee Voting,000077130,Al Rose,skipped,skipped
25-103,Absentee Voting,000077131,Al Rose,skipped,skipped
25-103,Absentee Voting,000077132,Carolyn Merrival,Al Rose,skipped
25-103,Absentee Voting,000077133,Al Rose,Carolyn Merrival,Joyce McDonald
25-103,Absentee Voting,000077134,Al Rose,Carolyn Merrival,Joyce McDonald
25-103,Absentee Voting,000077135,Carolyn Merrival,Joyce McDonald,Al Rose
25-103,Absentee Voting,000077136,Al Rose,Joyce McDonald,Carolyn Merrival
25-103,Absentee Voting,000077137,Joyce McDonald,Al Rose,Carolyn Merrival
25-103,Absentee Voting,000077138,skipped,skipped,skipped
25-103,Absentee Voting,000077139,Al Rose,Carolyn Merrival,Joyce McDonald
25-103,Absentee Voting,000077140,Al Rose,Carolyn Merrival,Joyce McDonald
25-103,Absentee Voting,000077141,Joyce McDonald,Carolyn Merrival,Al Rose
25-103,Absentee Voting,000077142,Joyce McDonald,skipped,skipped
25-103,Absentee Voting,000077143,Joyce McDonald,Al Rose,Carolyn Merrival
25-103,Absentee Voting,000077144,Joyce McDonald,Carolyn Merrival,Al Rose
25-103,Absentee Voting,000077145,Al Rose,skipped,skipped
25-103,Absentee Voting,000077146,Joyce McDonald,Carolyn Merrival,skipped
25-103,Absentee Voting,000077147,Joyce McDonald,Al Rose,Carolyn Merrival
25-103,Absentee Voting,000077148,Joyce McDonald,skipped,skipped
25-103,Absentee Voting,000077149,Carolyn Merrival,skipped,skipped
25-103,Absentee Voting,000077150,Al Rose,Carolyn Merrival,Joyce McDonald
25-103,Absentee Voting,000077151,Joyce McDonald,skipped,skipped
25-103,Absentee Voting,000077152,Joyce McDonald,Carolyn Merrival,Al Rose
25-103,Absentee Voting,000077153,Joyce McDonald,Joyce McDonald,Carolyn Merrival
25-103,Absentee Voting,000077154,Joyce McDonald,skipped,skipped
25-103,Absentee Voting,000077155,Carolyn Merrival,Al Rose,writein
25-103,Absentee Voting,000077156,Al Rose,Carolyn Merrival,Joyce McDonald
25-103,Absentee Voting,000077157,Joyce McDonald,Carolyn Merrival,Al Rose
25-103,Absentee Voting,000077158,Joyce McDonald,skipped,skipped
25-103,Absentee Voting,000077159,Joyce McDonald,Carolyn Merrival,Al Rose
25-103,Absentee Voting,000077160,Joyce McDonald,skipped,skipped
25-103,Absentee Voting,000077161,Al Rose,Joyce McDonald,Carolyn Merrival
25-103,Absentee Voting,000077162,Joyce McDonald,skipped,skipped
25-103,Absentee Voting,000077163,Al Rose,Carolyn Merrival,Joyce McDonald
25-103,Absentee Voting,000077164,Joyce McDonald,Joyce McDonald,Joyce McDonald
25-103,Absentee Voting,000077165,Joyce McDonald,skipped,skipped
25-103,Absentee Voting,000077166,Al Rose,Carolyn Merrival,skipped
25-103,Absentee Voting,000077167,Al Rose,Carolyn Merrival,skipped
25-103,Absentee Voting,000077168,Al Rose,Carolyn Merrival,skipped
25-103,Absentee Voting,000077169,Joyce McDonald,skipped,skipped
25-103,Absentee Voting,000077170,Joyce McDonald,Al Rose,Carolyn Merrival
25-103,Absentee Voting,000077171,Joyce McDonald,Carolyn Merrival,Al Rose
25-103,Absentee Voting,000077172,Joyce McDonald,skipped,skipped
25-103,Absentee Voting,000077173,Joyce McDonald,Al Rose,skipped
25-103,Absentee Voting,000077174,Carolyn Merrival,skipped,skipped
25-103,Absentee Voting,000077175,Al Rose,Carolyn Merrival,skipped
25-103,Absentee Voting,000077176,Al Rose,Carolyn Merrival,skipped
25-103,Absentee Voting,000077177,Carolyn Merrival,Joyce McDonald,Al Rose
25-103,Absentee Voting,000077178,Joyce McDonald,skipped,skipped
25-103,Absentee Voting,000077179,Al Rose,Carolyn Merrival,skipped
25-103,Absentee Voting,000077180,Joyce McDonald,Al Rose,Carolyn Merrival
25-103,Absentee Voting,000077181,Joyce McDonald,Al Rose,Carolyn Merrival
25-103,Absentee Voting,000077182,Carolyn Merrival,Al Rose,Joyce McDonald
25-103,Absentee Voting,000077183,Joyce McDonald,skipped,skipped
25-103,Absentee Voting,000077184,Al Rose,Carolyn Merrival,Joyce McDonald
25-103,Absentee Voting,000077185,Al Rose,Carolyn Merrival,Joyce McDonald
25-103,Absentee Voting,000077186,skipped,skipped,skipped
25-103,Absentee Voting,000077187,Joyce McDonald,Al Rose,Carolyn Merrival
25-103,Absentee Voting,000077188,Joyce McDonald,skipped,skipped
25-103,Absentee Voting,000077189,Joyce McDonald,Joyce McDonald,Joyce McDonald
25-103,Absentee Voting,000077190,Joyce McDonald,skipped,skipped
25-103,Absentee Voting,000077191,Al Rose,skipped,skipped
25-103,Absentee Voting,000077192,Al Rose,Carolyn Merrival,Joyce McDonald
25-103,Absentee Voting,000077193,Al Rose,Carolyn Merrival,skipped
25-103,Absentee Voting,000077194,Carolyn Merrival,skipped,skipped
25-103,Absentee Voting,000077195,Al Rose,Carolyn Merrival,Joyce McDonald
25-103,Absentee Voting,000077196,Joyce McDonald,Joyce McDonald,Joyce McDonald
25-103,Absentee Voting,000077197,Joyce McDonald,skipped,skipped
25-103,Absentee Voting,000077198,Carolyn Merrival,Al Rose,Joyce McDonald
25-103,Absentee Voting,000077199,Al Rose,skipped,skipped
25-103,Absentee Voting,000077200,Carolyn Merrival,Al Rose,Joyce McDonald
25-103,Absentee Voting,000077201,Carolyn Merrival,Joyce McDonald,Al Rose
25-103,Absentee Voting,000077202,Joyce McDonald,Carolyn Merrival,skipped
25-103,Absentee Voting,000077203,skipped,skipped,skipped
25-103,Absentee Voting,000077204,Joyce McDonald,skipped,skipped
25-103,Absentee Voting,000077205,Joyce McDonald,skipped,skipped
25-103,Absentee Voting,000077206,Joyce McDonald,Carolyn Merrival,skipped
25-103,Absentee Voting,000077207,Joyce McDonald,Carolyn Merrival,Al Rose
25-103,Absentee Voting,000077208,Joyce McDonald,skipped,skipped
25-103,Absentee Voting,000077209,Al Rose,Carolyn Merrival,skipped
25-103,Absentee Voting,000077210,Carolyn Merrival,Al Rose,skipped
25-103,Absentee Voting,000077211,Joyce McDonald,skipped,skipped
25-103,Absentee Voting,000077212,Al Rose,skipped,skipped
25-103,Absentee Voting,000077213,Al Rose,Carolyn Merrival,skipped
25-103,Absentee Voting,000077214,Carolyn Merrival,Al Rose,skipped
25-103,Absentee Voting,000077215,Al Rose,Carolyn Merrival,skipped
25-103,Absentee Voting,000077216,Joyce McDonald,skipped,skipped
25-103,Absentee Voting,000077217,Al Rose,Al Rose,Carolyn Merrival
25-103,Absentee Voting,000077218,Carolyn Merrival,skipped,skipped
25-103,Absentee Voting,000077219,Joyce McDonald,skipped,skipped
25-104,Absentee Voting,000077220,Carolyn Merrival,Al Rose,skipped
25-104,Absentee Voting,000077221,Carolyn Merrival,Joyce McDonald,Al Rose
25-104,Absentee Voting,000077222,Al Rose,Carolyn Merrival,skipped
25-104,Absentee Voting,000077223,Carolyn Merrival,Al Rose,skipped
25-104,Absentee Voting,000077224,Joyce McDonald,skipped,skipped
25-104,Absentee Voting,000077225,Joyce McDonald,Al Rose,Carolyn Merrival
25-104,Absentee Voting,000077226,Al Rose,Carolyn Merrival,Joyce McDonald
25-104,Absentee Voting,000077227,Carolyn Merrival,skipped,skipped
25-104,Absentee Voting,000077228,Carolyn Merrival,Al Rose,Joyce McDonald
25-104,Absentee Voting,000077229,Joyce McDonald,skipped,skipped
25-104,Absentee Voting,000077230,Al Rose,Carolyn Merrival,Joyce McDonald
25-104,Absentee Voting,000077231,Joyce McDonald,Joyce McDonald,Joyce McDonald
25-104,Absentee Voting,000077232,Carolyn Merrival,Joyce McDonald,Al Rose
25-104,Absentee Voting,000077233,Al Rose,Joyce McDonald,Carolyn Merrival
25-104,Absentee Voting,000077234,Carolyn Merrival,Al Rose,skipped
25-104,Absentee Voting,000077235,Al Rose,Joyce McDonald,Carolyn Merrival
25-104,Absentee Voting,000077236,Carolyn Merrival,Joyce McDonald,Al Rose
25-104,Absentee Voting,000077237,Al Rose,Carolyn Merrival,Joyce McDonald
25-104,Absentee Voting,000077238,Joyce McDonald,Al Rose,Carolyn Merrival
25-104,Absentee Voting,000077239,Joyce McDonald,Carolyn Merrival,Al Rose
25-104,Absentee Voting,000077240,Al Rose,skipped,skipped
25-104,Absentee Voting,000077241,Al Rose,Joyce McDonald,Carolyn Merrival
25-104,Absentee Voting,000077242,Joyce McDonald,skipped,skipped
25-104,Absentee Voting,000077243,Joyce McDonald,skipped,skipped
25-104,Absentee Voting,000077244,Joyce McDonald,Carolyn Merrival,Al Rose
25-104,Absentee Voting,000077245,skipped,skipped,skipped
25-104,Absentee Voting,000077246,Joyce McDonald,skipped,skipped
25-104,Absentee Voting,000077247,Joyce McDonald,skipped,skipped
25-104,Absentee Voting,000077248,Carolyn Merrival,Al Rose,Joyce McDonald
25-104,Absentee Voting,000077249,Al Rose,Joyce McDonald,Carolyn Merrival
25-104,Absentee Voting,000077250,Al Rose,skipped,skipped
25-104,Absentee Voting,000077251,Joyce McDonald,Al Rose,skipped
25-104,Absentee Voting,000077252,Al Rose,Joyce McDonald,Carolyn Merrival
25-104,Absentee Voting,000077253,Al Rose,skipped,skipped
25-104,Absentee Voting,000077254,Joyce McDonald,skipped,skipped
25-104,Absentee Voting,000077255,Carolyn Merrival,Joyce McDonald,Al Rose
25-104,Absentee Voting,000077256,Al Rose,Carolyn Merrival,skipped
25-104,Absentee Voting,000077257,Joyce McDonald,Al Rose,Carolyn Merrival
25-104,Absentee Voting,000077258,Carolyn Merrival,Carolyn Merrival,Carolyn Merrival
25-104,Absentee Voting,000077259,Joyce McDonald,skipped,skipped
25-104,Absentee Voting,000077260,Al Rose,Carolyn Merrival,Joyce McDonald
25-104,Absentee Voting,000077261,Al Rose,Carolyn Merrival,skipped
25-104,Absentee Voting,000077262,Al Rose,Carolyn Merrival,skipped
25-104,Absentee Voting,000077263,Al Rose,Carolyn Merrival,Joyce McDonald
25-104,Absentee Voting,000077264,Al Rose,Carolyn Merrival,skipped
25-104,Absentee Voting,000077265,Joyce McDonald,skipped,skipped
25-104,Absentee Voting,000077266,skipped,skipped,skipped
25-104,Absentee Voting,000077267,Al Rose,skipped,skipped
25-104,Absentee Voting,000077268,Joyce McDonald,skipped,skipped
25-104,Absentee Voting,000077269,Carolyn Merrival,Al Rose,Joyce McDonald
25-104,Absentee Voting,000077270,Al Rose,Carolyn Merrival,skipped
25-104,Absentee Voting,000077271,Al Rose,Carolyn Merrival,skipped
25-104,Absentee Voting,000077272,Carolyn Merrival,Al Rose,skipped
25-104,Absentee Voting,000077273,Carolyn Merrival,Al Rose,skipped
25-104,Absentee Voting,000077274,Al Rose,Al Rose,Al Rose
25-104,Absentee Voting,000077275,Carolyn Merrival,Al Rose,Joyce McDonald
25-104,Absentee Voting,000077276,Joyce McDonald,skipped,skipped
25-104,Absentee Voting,000077277,Joyce McDonald,Joyce McDonald,Joyce McDonald
25-104,Absentee Voting,000077278,Al Rose,Carolyn Merrival,skipped
25-104,Absentee Voting,000077279,Carolyn Merrival,Al Rose,skipped
25-104,Absentee Voting,000077280,Joyce McDonald,Carolyn Merrival,Al Rose
25-104,Absentee Voting,000077281,Al Rose,skipped,skipped
25-104,Absentee Voting,000077282,Carolyn Merrival,Joyce McDonald,Al Rose
25-104,Absentee Voting,000077283,Joyce McDonald,skipped,skipped
25-104,Absentee Voting,000077284,Carolyn Merrival,Al Rose,skipped
25-104,Absentee Voting,000077285,Joyce McDonald,skipped,skipped
25-104,Absentee Voting,000077286,Al Rose,skipped,skipped
25-104,Absentee Voting,000077287,Carolyn Merrival,Al Rose,Joyce McDonald
25-104,Absentee Voting,000077288,Carolyn Merrival,skipped,skipped
25-104,Absentee Voting,000077289,Carolyn Merrival,Joyce McDonald,skipped
25-104,Absentee Voting,000077290,Al Rose,skipped,skipped
25-104,Absentee Voting,000077291,Carolyn Merrival,Carolyn Merrival,Al Rose
25-104,Absentee Voting,000077292,Carolyn Merrival,skipped,skipped
25-104,Absentee Voting,000077293,Joyce McDonald,skipped,skipped
25-104,Absentee Voting,000077294,Al Rose,skipped,skipped
25-104,Absentee Voting,000077295,Al Rose,Carolyn Merrival,Joyce McDonald
25-104,Absentee Voting,000077296,Carolyn Merrival,Al Rose,Joyce McDonald
25-104,Absentee Voting,000077297,skipped,skipped,skipped
25-104,Absentee Voting,000077298,Joyce McDonald,Carolyn Merrival,Al Rose
25-104,Absentee Voting,000077299,Al Rose,skipped,skipped
25-104,Absentee Voting,000077300,Al Rose,Carolyn Merrival,Joyce McDonald
25-104,Absentee Voting,000077301,Joyce McDonald,skipped,skipped
25-104,Absentee Voting,000077302,Carolyn Merrival,Al Rose,Joyce McDonald
25-104,Absentee Voting,000077303,Joyce McDonald,Carolyn Merrival,Al Rose
25-104,Absentee Voting,000077304,Al Rose,Carolyn Merrival,skipped
25-104,Absentee Voting,000077305,Al Rose,skipped,skipped
25-104,Absentee Voting,000077306,Joyce McDonald,Carolyn Merrival,skipped
25-104,Absentee Voting,000077307,Al Rose,Carolyn Merrival,skipped
25-104,Absentee Voting,000077308,Joyce McDonald,Al Rose,skipped
25-104,Absentee Voting,000077309,Carolyn Merrival,Al Rose,Joyce McDonald
25-104,Absentee Voting,000077310,Al Rose,Joyce McDonald,Carolyn Merrival
25-104,Absentee Voting,000077311,Carolyn Merrival,Al Rose,skipped
25-104,Absentee Voting,000077312,Joyce McDonald,Al Rose,Carolyn Merrival
25-104,Absentee Voting,000077313,Joyce McDonald,Carolyn Merrival,Al Rose
25-104,Absentee Voting,000077314,Joyce McDonald,skipped,skipped
25-104,Absentee Voting,000077315,Carolyn Merrival,Al Rose,Joyce McDonald
25-104,Absentee Voting,000077316,Carolyn Merrival,Al Rose,Joyce McDonald
25-104,Absentee Voting,000077317,Joyce McDonald,skipped,skipped
25-105,Absentee Voting,000077318,Al Rose,skipped,skipped
25-105,Absentee Voting,000077319,Al Rose,Carolyn Merrival,Joyce McDonald
25-105,Absentee Voting,000077320,Carolyn Merrival,Al Rose,Joyce McDonald
25-105,Absentee Voting,000077321,Joyce McDonald,skipped,skipped
25-105,Absentee Voting,000077322,Al Rose,skipped,skipped
25-105,Absentee Voting,000077323,Joyce McDonald,skipped,skipped
25-105,Absentee Voting,000077324,Carolyn Merrival,Al Rose,Joyce McDonald
25-105,Absentee Voting,000077325,Joyce McDonald,Carolyn Merrival,Al Rose
25-105,Absentee Voting,000077326,Carolyn Merrival,skipped,skipped
25-105,Absentee Voting,000077327,Al Rose,Carolyn Merrival,skipped
25-105,Absentee Voting,000077328,Al Rose,skipped,skipped
25-105,Absentee Voting,000077329,Joyce McDonald,skipped,skipped
25-105,Absentee Voting,000077330,Carolyn Merrival,Al Rose,Joyce McDonald
25-105,Absentee Voting,000077331,Al Rose,Carolyn Merrival,Joyce McDonald
25-105,Absentee Voting,000077332,Carolyn Merrival,Al Rose,skipped
25-105,Absentee Voting,000077333,Al Rose,Carolyn Merrival,skipped
25-105,Absentee Voting,000077334,Al Rose,Carolyn Merrival,skipped
25-105,Absentee Voting,000077335,Carolyn Merrival,Al Rose,skipped
25-105,Absentee Voting,000077336,Al Rose,Carolyn Merrival,Joyce McDonald
25-105,Absentee Voting,000077337,Carolyn Merrival,Al Rose,Joyce McDonald
25-105,Absentee Voting,000077338,Carolyn Merrival,Al Rose,skipped
25-105,Absentee Voting,000077339,Joyce McDonald,Joyce McDonald,Joyce McDonald
25-105,Absentee Voting,000077340,Joyce McDonald,Carolyn Merrival,Al Rose
25-105,Absentee Voting,000077341,Carolyn Merrival,skipped,skipped
25-105,Absentee Voting,000077342,Joyce McDonald,skipped,skipped
25-105,Absentee Voting,000077343,Al Rose,Al Rose,Al Rose
25-105,Absentee Voting,000077344,Al Rose,Carolyn Merrival,Joyce McDonald
25-105,Absentee Voting,000077345,Carolyn Merrival,Al Rose,skipped
25-105,Absentee Voting,000077346,Al Rose,Carolyn Merrival,Joyce McDonald
25-105,Absentee Voting,000077347,Al Rose,Carolyn Merrival,Joyce McDonald
25-105,Absentee Voting,000077348,Joyce McDonald,skipped,skipped
25-105,Absentee Voting,000077349,Carolyn Merrival,skipped,skipped
25-105,Absentee Voting,000077350,Joyce McDonald,Carolyn Merrival,Al Rose
25-105,Absentee Voting,000077351,Carolyn Merrival,Carolyn Merrival,Joyce McDonald
25-105,Absentee Voting,000077352,Al Rose,Carolyn Merrival,skipped
25-105,Absentee Voting,000077353,Joyce McDonald,skipped,skipped
25-105,Absentee Voting,000077354,Carolyn Merrival,Carolyn Merrival,Joyce McDonald
25-105,Absentee Voting,000077355,Al Rose,Carolyn Merrival,Joyce McDonald
