Filename,Index,partisan,level,type,candidates,choices,gamma bf,gamma mds,#1 candidate,#2 candidate,#3 candidate,#4 candidate,#5 candidate,bimodality,Ashman_D,Sarle_coefficient,Hartigan_Dip,Amplitude_Ratio,Mode_Distance,stress_value
Alaska_11082022_HouseDistrict16.mat,10,YES,STATE,R,2,3,1,1,64.35167122,56.41825985,,,,0.933298532,4.34669861,0.943251611,0.999852725,0.266589714,0.232232232,0
Alaska_11082022_HouseDistrict17.mat,11,YES,STATE,R,2,3,1,1,79.09859155,72.76995305,,,,0.853047586,2.51975106,0.853047586,0.999732406,0.949398762,0.243243243,9.84E-35
Alaska_11082022_HouseDistrict18.mat,12,YES,STATE,R,3,4,0.930155734,0.891930156,62.95422369,61.20811704,56.01698915,,,0.855923714,,,,,,0.115485752
Alaska_11082022_HouseDistrict19.mat,13,YES,STATE,R,2,3,1,1,88.57142857,63.42857143,,,,0.908259852,,,,,,0
Alaska_11082022_HouseDistrict2.mat,14,YES,STATE,R,2,3,1,1,67.32145363,55.28272766,,,,0.924696146,4.469992397,0.944287882,0.999837134,0.282244087,0.228228228,0
Alaska_11082022_HouseDistrict20.mat,15,YES,STATE,R,4,5,0.805383848,0.782851446,65.06480558,50.36889332,48.41475573,36.15154536,,0.890272685,6.96697103,0.864833341,0.999709133,0.319741471,2.216216216,0.830590847
Alaska_11082022_HouseDistrict21.mat,16,YES,STATE,R,2,3,1,1,61.9013683,60.27651083,,,,0.923534955,3.567609941,0.923534955,0.999843039,0.350677878,0.239239239,4.86E-35
Alaska_11082022_HouseDistrict22.mat,17,YES,STATE,R,2,3,1,1,64.79470199,60.90066225,,,,0.92676722,,,,,,9.65E-35
Alaska_11082022_HouseDistrict23.mat,18,YES,STATE,R,2,3,1,1,74.8157419,61.39618968,,,,0.913758178,,,,,,0
Alaska_11082022_HouseDistrict24.mat,19,YES,STATE,R,3,4,0.932133333,0.918533333,77.48,63.38666667,36.8,,,0.875226698,2.782282025,0.875226698,0.999816278,0.257114091,0.610610611,0.071675673
Alaska_11082022_HouseDistrict25.mat,20,YES,STATE,R,2,3,1,1,88.60619469,48.87997788,,,,0.944833857,,,,,,0
Alaska_11082022_HouseDistrict26.mat,21,YES,STATE,R,2,3,1,1,87.86915039,32.45494472,,,,0.930787088,,,,,,0
Alaska_11082022_HouseDistrict27.mat,22,YES,STATE,R,3,4,0.86332737,0.86332737,74.00715564,60.55456172,59.87477639,,,0.729085997,2.253859113,0.729085997,0.999746835,0.652842958,0.334334334,0.334253475
Alaska_11082022_HouseDistrict28.mat,23,YES,STATE,R,4,5,0.681833445,0.74278039,69.39220954,56.16185359,55.43989255,51.94761585,,0.571966785,4.202762465,0.571966785,0.999711899,0.509247313,1.147147147,2.12274747
Alaska_11082022_HouseDistrict29.mat,24,YES,STATE,R,2,3,1,1,82.73689854,40.2761024,,,,0.930256416,,,,,,0
Alaska_11082022_HouseDistrict30.mat,25,YES,STATE,R,3,4,0.950225644,0.878152376,68.68861163,66.65781789,34.01911335,,,0.708299306,2.279903542,0.802637135,0.999782135,0.867187966,0.558558559,0.003240581
Alaska_11082022_HouseDistrict31.mat,26,YES,STATE,R,3,4,0.897693672,0.873447664,63.70983639,62.86221171,52.92726198,,,0.80814502,2.800379391,0.715742481,0.999738288,0.577440303,0.34034034,0.378147848
Alaska_11082022_HouseDistrict32.mat,27,YES,STATE,R,3,4,0.958083832,0.795461708,74.40907658,56.69713205,48.03025528,,,0.794028636,,,,,,0.028748398
Alaska_11082022_HouseDistrict34.mat,28,YES,STATE,R,3,4,0.943902439,0.893224932,66.36856369,53.53658537,47.87262873,,,0.870338136,7.563727005,0.870338136,0.999789163,,,0.008405305
Alaska_11082022_HouseDistrict35.mat,29,YES,STATE,R,4,5,0.840717441,0.834961852,62.80283764,54.50408245,45.8037746,26.60955695,,0.825957475,3.81226755,0.87945403,0.999779978,0.843237056,0.708708709,1.336651016
Alaska_11082022_HouseDistrict36.mat,30,YES,STATE,R,2,3,1,1,74.99330656,45.79651941,,,,0.943514304,4.715608024,0.94775186,0.999848988,,,0
Alaska_11082022_HouseDistrict39.mat,31,YES,STATE,R,2,3,1,1,78.4543965,75.20480612,,,,0.844711303,2.223910503,0.844711303,0.999624906,0.938844042,0.242242242,0
Alaska_11082022_HouseDistrict4.mat,32,YES,STATE,R,2,3,1,1,85.64320211,38.18235036,,,,0.914571588,,,,,,0
Alaska_11082022_HouseDistrict5.mat,33,YES,STATE,R,2,3,1,1,75.66009669,56.63815545,,,,0.909689315,3.544592824,0.909689315,0.999773499,0.602329532,0.24024024,0
Alaska_11082022_HouseDistrict6.mat,34,YES,STATE,R,3,4,0.962293877,0.880054616,63.87984455,56.20207961,35.15387039,,,0.930510793,,,,,,0.149733785
Alaska_11082022_HouseDistrict7.mat,35,YES,STATE,R,2,3,1,1,71.36370294,64.99194375,,,,0.886551558,2.950983066,0.886551558,0.999821173,0.643547647,0.245245245,0
Alaska_11082022_HouseDistrict9.mat,36,YES,STATE,R,2,3,1,1,64.95517522,54.23797881,,,,0.950040502,,,,,,0
Alaska_11082022_SenateDistrictA.mat,37,YES,STATE,S,2,3,1,1,81.00580271,51.14893617,,,,0.930786725,,,,,,0
Alaska_11082022_SenateDistrictC.mat,38,YES,STATE,S,3,4,0.927595335,0.927595335,71.78936825,56.63590184,40.08728626,,,0.68430937,4.649971291,0.68430937,0.999911817,0.756364945,0.758758759,0.238172364
Alaska_11082022_SenateDistrictD.mat,39,YES,STATE,S,3,4,0.956387317,0.832390475,71.31298513,65.15590054,31.05512433,,,0.728916651,2.217425248,0.728916651,0.999900695,0.80307236,0.624624625,0.122388199
Alaska_11082022_SenateDistrictE.mat,40,YES,STATE,S,3,4,0.960562537,0.960562537,65.30221424,57.73189707,50.68222621,,,0.626082177,3.812268275,0.626082177,0.999917655,0.874650814,1.021021021,0.000838277
Alaska_11082022_SenateDistrictF.mat,41,YES,STATE,S,2,3,1,1,65.97008666,54.94828068,,,,0.932574119,,,,,,9.63E-35
Alaska_11082022_SenateDistrictG.mat,42,YES,STATE,S,2,3,1,1,65.19371541,57.99857168,,,,0.945162753,,,,,,1.03E-34
Alaska_11082022_SenateDistrictH.mat,43,YES,STATE,S,2,3,1,1,61.3540569,61.24209694,,,,0.941936556,,,,,,0
Alaska_11082022_SenateDistrictI.mat,44,YES,STATE,S,2,3,1,1,76.39296188,51.79952013,,,,0.908359658,4.495997689,0.942531128,0.999835688,0.402799021,0.242242242,0
Alaska_11082022_SenateDistrictJ.mat,45,YES,STATE,S,3,4,0.935144509,0.924277457,69.2716763,60.56647399,52.65895954,,,0.759001452,5.717835801,0.759001452,0.99980541,0.533137963,1.307307307,0.081126273
Alaska_11082022_SenateDistrictK.mat,46,YES,STATE,S,2,3,1,1,65.8525303,57.87769451,,,,0.913775735,,,,,,0
Alaska_11082022_SenateDistrictL.mat,47,YES,STATE,S,2,3,1,1,72.73100897,66.42920748,,,,0.901570901,,,,,,0
Alaska_11082022_SenateDistrictM.mat,48,YES,STATE,S,2,3,1,1,82.77650546,35.61228614,,,,0.946498254,,,,,,0
Alaska_11082022_SenateDistrictN.mat,49,YES,STATE,S,3,4,0.85008223,0.826452004,74.08465334,64.06993854,60.63360166,,,0.611904107,2.305105088,0.665457082,0.999870332,0.614282228,0.354354354,0.774916306
Alaska_11082022_SenateDistrictO.mat,50,YES,STATE,S,2,3,1,1,73.15956323,68.14371257,,,,0.872533385,,,,,,0
Alaska_11082022_SenateDistrictP.mat,51,YES,STATE,S,3,4,0.904546537,0.805522495,66.35324923,63.94905975,46.79838134,,,0.926270257,,,,,,0.405026245
Alaska_11082022_SenateDistrictQ.mat,52,YES,STATE,S,3,4,0.898730281,0.859022701,75.5367449,48.48018469,32.41246633,,,0.920242565,6.4723901,0.911071221,0.999903101,0.084011341,1.125125125,0.753315197
Alaska_11082022_SenateDistrictR.mat,53,YES,STATE,S,3,4,0.920295304,0.865541049,75.78098298,54.04333857,39.74297628,,,0.737018585,4.422849859,0.698044241,0.99989989,0.43618769,0.404404404,0.322834242
Alaska_11082022_SenateDistrictS.mat,54,YES,STATE,S,2,3,1,1,79.97395457,62.58139198,,,,0.894850167,3.262111624,0.894850167,0.999800717,0.762075207,0.244244244,0
Alaska_11082022_USRepresentative.mat,55,YES,FEDERAL,R,4,5,0.825703481,0.757514115,64.61950122,59.18676972,57.31220374,35.85074424,,0.808016113,2.498267369,0.808016113,0.999994378,0.557545725,0.468468468,1.76365358
Alaska_11082022_USSenator.mat,56,YES,FEDERAL,S,4,5,0.831821701,0.82133641,65.75829564,60.02952427,44.63515893,41.55256687,,0.87220012,2.310971669,0.822097201,0.999991963,0.438147211,0.534534535,0.401893831
Albany_11082022_BoardofEducation.mat,57,NO,LOCAL,B,5,5,0.62540366,0.64262648,87.80562817,84.99154237,79.97847147,56.6815316,1.968322313,0.578185495,1.77783268,0.522027798,0.999634903,0.541123546,0.308308308,174.919099
Albany_11082022_CityCouncil.mat,58,NO,LOCAL,R,6,5,0.343728344,0.304781705,88.46846847,82.86902287,81.82952183,80.31878032,60.45738046,0.562647504,1.700458223,0.562647504,0.999285714,0.67411608,0.35035035,223.305836
Albany_11082022_FAKECityCouncil.mat,59,NO,LOCAL,R,,,,,,,,,,,,,,,,205.5050119
Berkeley_03072017_CityCouncilDistrict4.mat,60,NO,LOCAL,R,2,3,1,1,78.30261137,65.62980031,,,,0.882215827,2.207300072,0.859254713,0.999540018,0.80449778,0.24024024,1.03E-34
Berkeley_11022010_CityCouncilDistrict1.mat,61,NO,LOCAL,R,4,3,0.787372494,0.743580725,84.15406261,59.90151249,45.39219135,20.1899402,,0.370075223,6.690326047,0.577362705,0.999677211,0.135824153,1.228228228,1.631272684
Berkeley_11022010_CityCouncilDistrict4.mat,62,NO,LOCAL,R,4,3,0.688117771,0.724500526,77.05573081,64.3533123,47.71819138,34.30073607,,0.555055042,4.528820184,0.555055042,0.999540652,0.491848307,0.738738739,1.506869171
Berkeley_11022010_CityCouncilDistrict7.mat,63,NO,LOCAL,R,3,3,0.79587431,0.684096906,86.44758935,76.54113696,74.52626529,,,0.727185116,4.189341016,0.727185116,0.999482669,0.531442867,0.790790791,0.825461635
Berkeley_11022010_CityCouncilDistrict8.mat,64,NO,LOCAL,R,3,3,0.803050109,0.748583878,84.68409586,69.91285403,69.49891068,,,0.749130795,2.038183631,0.671659245,0.999653139,0.901823782,0.378378378,0.662873619
Berkeley_11032020_MayorBerkeleyRCV.mat,65,NO,LOCAL,E,4,5,0.783319622,0.766162759,87.79308926,60.78259975,52.50411353,36.77498972,,0.497088394,6.894188326,0.497088394,0.999970991,0.314265995,0.198198198,1.563333332
Berkeley_11032020_MemberCityCouncilDist2BerkeleyRCV.mat,66,NO,LOCAL,R,4,5,0.693770572,0.659270998,81.18980861,71.26660978,68.47494819,54.65073754,,0.415034837,2.456157074,0.415034837,0.999754481,0.927782792,0.264264264,1.818924981
Berkeley_11032020_MemberCityCouncilDist3BerkeleyRCV.mat,67,NO,LOCAL,R,3,5,0.923176745,0.888917726,89.32001038,64.33947573,46.74279782,,,0.639112685,1.872808661,0.639112685,0.999827437,0.622768183,0.34034034,0.477146286
Berkeley_11032020_MemberCityCouncilDist5BerkeleyRCV.mat,68,NO,LOCAL,R,3,5,0.966956175,0.833083758,89.97703903,50.25456724,32.91404612,,,0.684528444,5.485341216,0.684528444,0.999838397,0.104842117,0.766766767,0.383124813
Berkeley_11032020_MemberCityCouncilDist6BerkeleyRCV.mat,69,NO,LOCAL,R,2,5,1,1,86.46975364,55.11414936,,,,0.859497323,3.659032795,0.9160838,0.99982146,0.978774758,0.247247247,0
Berkeley_11042014_CityCouncilDistrict1.mat,70,NO,LOCAL,R,3,3,0.917429546,0.859091725,83.0371567,74.7083109,47.9267636,,,0.243373346,4.666009118,0.243373346,0.99971831,0.041417699,0.844844845,0.433944525
Berkeley_11042014_CityCouncilDistrict7.mat,71,NO,LOCAL,R,2,3,1,1,76.21262458,68.8372093,,,,0.861891026,2.343440195,0.861617596,0.999161074,0.807851044,0.209209209,0
Berkeley_11042014_CityCouncilDistrict8.mat,72,NO,LOCAL,R,4,3,0.542623675,0.671378092,70.64929329,65.6139576,59.80565371,51.70053004,,0.512404965,3.132072721,0.461532262,0.999494949,0.781125282,0.768768769,1.944145292
Berkeley_11062012_CityCouncilDistrict2.mat,73,NO,LOCAL,R,3,3,0.889732528,0.889732528,81.69111303,68.26574633,60.13805004,,,0.673537179,2.259012857,0.673537179,0.999765093,0.831774976,0.372372372,0.296525712
Berkeley_11062012_CityCouncilDistrict3.mat,74,NO,LOCAL,R,2,3,1,1,76.30662021,64.42121564,,,,0.869612413,2.316006476,0.869612413,0.999770695,0.709814737,0.247247247,0
Berkeley_11062012_CityCouncilDistrict5.mat,75,NO,LOCAL,R,2,3,1,1,71.30303791,65.85488325,,,,0.884362663,3.014734678,0.89166362,0.999842495,0.592584202,0.245245245,0
Berkeley_11062012_CityCouncilDistrict6.mat,76,NO,LOCAL,R,2,3,1,1,95.85167626,5.519810362,,,,0.99278825,,,,,,0
Berkeley_11062012_Mayor.mat,77,NO,LOCAL,E,7,3,0.651337241,0.735586256,72.46169214,51.52760239,37.95163692,20.51567182,20.26499802,0.36914008,1.656104632,0.403415591,0.9999617,0.192726124,0.168168168,4182.060077
Berkeley_11062018_CityAuditor.mat,78,NO,LOCAL,O,2,3,1,1,96.99315272,38.34276074,,,,0.968960816,,,,,,0
Berkeley_11062018_CityCouncilDistrict1.mat,79,NO,LOCAL,R,4,3,0.685377598,0.598834263,74.40446021,73.9736442,66.81449569,28.53522554,,0.51613007,5.350211997,0.51613007,0.999647515,0.502796512,0.540540541,0.914490618
Berkeley_11062018_CityCouncilDistrict4.mat,80,NO,LOCAL,R,3,3,0.854485777,0.854485777,83.97155361,78.19110139,69.18307805,,,0.574029182,3.801430621,0.546182742,0.999611801,0.409524981,0.796796797,0.524520365
Berkeley_11062018_CityCouncilDistrict7.mat,81,NO,LOCAL,R,3,3,0.912224591,0.912224591,91.29353234,81.66311301,67.66169154,,,0.411780016,4.751000852,0.281596303,0.999389126,0.248521667,0.36036036,0.634148238
Berkeley_11062018_CityCouncilDistrict8.mat,82,NO,LOCAL,R,4,3,0.764077522,0.724248436,81.36731268,71.99755837,46.55882802,32.09217152,,0.41258044,4.290405234,0.222452612,0.999705015,0.148951031,0.84984985,3.058306776
Berkeley_11082016_CityCouncilDistrict2.mat,83,NO,LOCAL,R,3,3,0.830067189,0.830067189,76.37178052,74.13213886,73.46024636,,,0.570634921,3.398665724,0.709677604,0.99973538,0.647055743,0.702702703,0.427978529
Berkeley_11082016_CityCouncilDistrict3.mat,84,NO,LOCAL,R,4,3,0.782675839,0.654499509,82.83026815,63.48448687,54.76625018,25.22813421,,0.426434326,3.287340176,0.426434326,0.99968789,0.816671526,0.345345345,1.497268423
Berkeley_11082016_CityCouncilDistrict5.mat,85,NO,LOCAL,R,2,3,1,1,76.26555127,62.73058773,,,,0.904118976,3.383132927,0.904118976,0.999856672,,,0
Berkeley_11082016_CityCouncilDistrict6.mat,86,NO,LOCAL,R,3,3,0.836436705,0.828131279,82.57200268,64.75552579,57.56195579,,,0.64822368,3.886554113,0.666000085,0.999752842,0.383441932,0.698698699,0.649793903
Berkeley_11082016_Mayor.mat,87,NO,LOCAL,E,8,3,,0.635330038,72.40937231,56.97609689,45.12407011,17.52838177,13.62325197,0.082345781,4.716230897,0.082345781,0.999963252,0.352360094,1.135135135,36.53375169
Burlington_03032009_Mayor.mat,88,YES,LOCAL,E,5,5,0.493979933,0.554849498,74.74916388,68.92976589,67.93756968,67.8483835,37.79264214,0.718131625,3.324014079,0.669681118,0.999712644,0.617616142,0.824824825,6.01213702
Burlington_03072006_Mayor.mat,89,YES,LOCAL,E,5,5,0.623363339,0.656914894,76.09451718,76.05360065,61.25204583,35.01432079,32.43657938,0.490785843,6.450483867,0.260416074,0.99975892,0.664523386,0.808808809,5.189227284
Burlington_03072023_CityCouncilCentralDistrict.mat,90,YES,LOCAL,R,2,3,1,1,81.37024871,71.6564993,,,,0.874781487,2.940764344,0.874781487,0.99924185,0.842157624,0.184184184,0
Burlington_03072023_CityCouncilEastDistrict.mat,91,YES,LOCAL,R,2,3,1,1,84.56568557,68.34170854,,,,0.831005236,2.139646352,0.862664405,0.998962656,0.727352892,0.218218218,0
Burlington_03072023_CityCouncilSouthDistrict.mat,92,YES,LOCAL,R,3,4,0.856632957,0.856632957,89.94646044,54.66983938,51.93337299,,,0.902664894,6.579166069,0.902664894,0.998988878,0.545939082,0.720720721,0.351926678
Corvallis_11082022_CityCouncilWard9.mat,93,NO,LOCAL,R,3,3,0.83195706,0.83195706,92.6507019,89.55408753,86.91164327,,,0.462264135,3.034353526,0.353149461,0.99904489,0.339271373,0.322322322,0.802609833
Corvallis_11082022_Mayor.mat,94,NO,LOCAL,E,3,3,0.788546469,0.788546469,92.3125455,90.90026693,89.49769473,,,0.653834421,4.724487618,0.42908953,0.999887044,0.641703512,0.774774775,0.675359715
Easthampton_11022021_Mayor.mat,95,YES,LOCAL,E,66,4,,0.6785541,78.86948083,35.58951965,32.04754973,22.07666181,0.12130034,0.491269472,5.50908552,0.771895128,0.999624484,0.334231253,4.62818652,10320807963
Eastpointe_11052019_CityCouncil.mat,96,NO,LOCAL,R,4,4,0.593562575,0.6227509,83.34666134,77.04918033,67.93282687,61.29548181,,0.43768595,3.088120138,0.368079036,0.999537037,0.12127231,1.147147147,2.716308038
ElkRidge_11022021_Mayor.mat,97,NO,LOCAL,E,3,3,0.894576012,0.894576012,89.07563025,89.07563025,81.97097021,,,0.474407659,3.617231061,0.474407659,0.998316498,0.644473133,0.768768769,0.666492469
Hawaii_05232020_PresidentoftheUnitedStateCD1.mat,98,DP,FEDERAL,E,11,3,,0.71617637,78.09092779,49.43427278,27.23719399,9.236782555,8.935061373,0.176379814,8.839307099,0.176379814,0.999881922,0.03315999,1.191191191,5255.093617
Hawaii_05232020_PresidentoftheUnitedStateCD1CD2.mat,99,DP,FEDERAL,E,11,3,,0.747941446,75.94064501,52.77904849,26.61539341,12.30272187,7.450823422,0.012828464,10.79045421,0.012828464,0.999945858,0.561372465,0.26026026,2038.899646
Hawaii_05232020_PresidentoftheUnitedStateCD2.mat,100,DP,FEDERAL,E,11,3,,0.727553572,74.40298142,55.17089197,26.17074486,14.71093022,7.585936351,0.822406308,43.76969151,0.018522148,0.999911731,0.210932755,5.498702532,424.7448313
Kansas_05022020_PRESIDENTOFTHEUNITEDSTATES.mat,101,DP,FEDERAL,E,5,5,0.69377258,0.604950367,92.99695875,62.81781751,62.22861769,34.41988311,27.41480075,0.799628758,1.640246915,0.799628758,0.999988399,0.393870148,0.624624625,4.986222497
LasCruces_11052019_COUNCILORPOSITION2CITYOFLASCRUCESDISTRICT2COUNCILOR.mat,102,NO,LOCAL,R,4,4,0.632,0.655111111,74.04444444,66.8,60.97777778,48.48888889,,0.551282588,3.871858909,0.551282588,0.999156118,0.602617183,1.045045045,2.875905615
LasCruces_11052019_COUNCILORPOSITION4CITYOFLASCRUCESDISTRICT4COUNCILOR.mat,103,NO,LOCAL,R,3,3,0.859615385,0.755769231,80.83333333,73.46153846,73.14102564,,,0.747515572,3.517559566,0.747515572,0.998913043,0.419249424,0.730730731,0.601744353
LasCruces_11052019_MAYORCITYOFLASCRUCES.mat,104,NO,LOCAL,E,10,0,,0.341229193,73.51685873,62.39863423,55.00782473,47.68103571,47.31825295,0.785614738,3.535195012,0.671086207,0.999753998,0.49905648,2.063063063,107.1029635
Maine_06122018_DemocraticPrimaryforCD2.mat,105,NO,FEDERAL,R,4,5,0.694512424,0.676191106,81.94104548,79.38796658,57.80364663,41.8325727,,0.548796721,5.262149731,0.548796721,0.999952759,0.347245868,0.741741742,1.748941546
Maine_06122018_DemocraticPrimaryforGovernor.mat,106,DP,STATE,E,7,8,0.303228417,0.311638646,79.81703785,74.06237851,70.53404953,69.47880384,51.26907178,0.610349694,1.872804095,0.627233956,0.999968162,0.192436719,0.678678679,20.14544776
Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict41.mat,107,DP,STATE,R,3,3,0.839540412,0.788431062,90.68938193,88.07448494,77.81299525,,,0.553058377,3.845660695,0.368799337,0.999076639,0.285693794,0.778778779,0.844202532
Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict47.mat,108,DP,STATE,R,3,3,0.794471154,0.794471154,88.10096154,85.53685897,82.8525641,,,0.428726429,3.540957123,0.428726429,0.999158957,0.544116616,0.742742743,0.848448006
Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict49.mat,109,DP,STATE,R,3,3,0.775322284,0.735267035,86.32596685,82.18232044,81.30755064,,,0.623891562,3.382811017,0.623891562,0.999087591,0.664938132,0.728728729,0.810298428
Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict90.mat,110,DP,STATE,R,3,3,0.872350912,0.77821587,88.86150813,87.38294726,77.13159192,,,0.533813667,3.381316252,0.533813667,0.99909991,0.492282206,0.648648649,0.710029882
Maine_07142020_DemocraticCandidateforMaineStateSenateDistrict11.mat,111,DP,STATE,R,3,3,0.790816327,0.749433107,89.1723356,82.61526833,82.52078609,,,0.496535999,2.115952476,0.613147133,0.999618321,0.508685012,0.346346346,0.873268809
Maine_07142020_RepublicanCandidateforUSHouseofRepresentativesDistrict2.mat,112,NO,FEDERAL,R,3,3,0.848793606,0.848793606,80.46096739,70.9158744,66.50695049,,,0.468700872,3.327861146,0.468700872,0.999969298,0.584697793,0.636636637,0.783957723
Maine_11062018_CongressionalDistrict2.mat,113,YES,FEDERAL,R,4,5,0.784114369,0.791052184,65.35504172,62.19459657,45.35669604,41.27327683,,0.91729949,2.157817728,0.91729949,0.999995277,0.880427826,0.351351351,0.851287001
Maine_11082022_CongressionalDistrict2.mat,114,YES,FEDERAL,R,3,4,0.934384502,0.934384502,63.40318694,62.49952688,49.72369766,,,0.910765913,6.538217886,0.88478998,0.99999512,0.407358897,0.810810811,0.028713958
Minneapolis_08112020_Ward6CityCouncilSpecialElection.mat,115,NO,LOCAL,R,12,3,,0.685729072,38.87954457,32.09988356,25.13908656,19.92495795,15.50006469,0.222105143,5.490782632,0.232488582,0.999800678,0.517975521,1.211211211,101.8372737
Minneapolis_11022021_CityCouncilWard1.mat,116,NO,LOCAL,R,4,3,0.890309026,0.7501532,68.89608684,68.30955091,32.96857218,13.61288628,,0.46258286,4.520815285,0.46258286,0.999849466,0.060995671,1.213213213,3.299114042
Minneapolis_11022021_CityCouncilWard10.mat,117,NO,LOCAL,R,6,3,0.727170131,0.787360105,56.44691056,53.32455563,46.52496943,33.96031224,26.53061224,0.361412915,3.700655833,0.380756807,0.999839021,0.672738271,0.580580581,13.96045893
Minneapolis_11022021_CityCouncilWard11.mat,118,NO,LOCAL,R,5,3,0.808055098,0.81561611,75.55023207,48.36801916,24.18026651,19.70354844,13.63228028,0.417648726,4.171848864,0.29354167,0.999890984,0.132846616,0.468468468,1.567714977
Minneapolis_11022021_CityCouncilWard12.mat,119,NO,LOCAL,R,3,3,0.962597911,0.962597911,80.92689295,50.50261097,27.30417755,,,0.453495112,3.559915051,0.329038267,0.999913599,0.051848958,0.754754755,0.107812244
Minneapolis_11022021_CityCouncilWard13.mat,120,NO,LOCAL,R,5,3,0.876708999,0.87354925,81.06580786,47.65145531,21.35261591,14.92374066,13.58084706,0.756249997,2.127024003,0.756249997,0.999899376,0.171189423,0.512512513,2.286347304
Minneapolis_11022021_CityCouncilWard2.mat,121,NO,LOCAL,R,5,3,0.708118895,0.762524945,62.03129923,57.86156916,54.09095683,38.15775654,9.190211112,0.594574697,6.54049336,0.616922616,0.999747155,0.100629144,1.957957958,37.7415739
Minneapolis_11022021_CityCouncilWard3.mat,122,NO,LOCAL,R,4,3,0.834935416,0.789726645,68.30129168,55.95524181,43.03844998,19.60799039,,0.4896005,4.938585464,0.530035071,0.999860627,0.06634166,1.405405405,0.812205437
Minneapolis_11022021_CityCouncilWard4.mat,123,NO,LOCAL,R,3,3,0.960789728,0.823415712,80.87808919,57.97321552,38.83749827,,,0.634930165,2.150287176,0.70937541,0.99980985,0.437525436,0.724724725,0.439559716
Minneapolis_11022021_CityCouncilWard5.mat,124,NO,LOCAL,R,7,3,0.693978102,0.570985401,54.12408759,50.65693431,44.9270073,22.51824818,20.51094891,0.350288978,2.777255164,0.350288978,0.999679693,0.95301351,0.468468468,34.81123898
Minneapolis_11022021_CityCouncilWard6.mat,125,NO,LOCAL,R,2,3,1,1,70.11365455,56.3310389,,,,0.9353077,4.168065284,0.9353077,0.999808392,0.350626213,0.231231231,0
Minneapolis_11022021_CityCouncilWard7.mat,126,NO,LOCAL,R,4,3,0.792345487,0.886733902,74.69183691,43.4186708,32.9195759,24.58408758,,0.556367855,2.912015369,0.414085467,0.999886583,0.019525343,0.60960961,1.765471941
Minneapolis_11022021_CityCouncilWard8.mat,127,NO,LOCAL,R,2,3,1,1,88.29827554,18.55220769,,,,0.977299239,,,,,,0
Minneapolis_11022021_CityCouncilWard9.mat,128,NO,LOCAL,R,8,3,,0.731010766,67.88277512,33.59748804,24.85047847,19.39294258,18.39114833,0.612688341,3.586500264,0.5648479,0.999759152,0.010849386,2.361361361,34.33069437
