BallotType,BatchId,CountingGroup,CvrNumber,ImprintedId,PrecinctPortion,RecordId,TabulatorNum,rank1,rank2,rank3,rank4,rank5
8 (8),18,Vote by Mail,23,1014-18-557,260100 (0055),557,1014,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,skipped,skipped
8 (8),18,Vote by Mail,24,1014-18-552,260100 (0055),552,1014,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),18,Vote by Mail,25,1014-18-346,260100 (0055),346,1014,JENNIFER HANSEN ROMERO,NICK PILCH,JOHN ANTHONY MIKI,skipped,skipped
8 (8),18,Vote by Mail,26,1014-18-275,260100 (0055),275,1014,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,NICK PILCH,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),18,Vote by Mail,27,1014-18-213,260100 (0055),213,1014,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,NICK PILCH,ROBIN D  LOPEZ,skipped
8 (8),18,Vote by Mail,28,1014-18-149,260100 (0055),149,1014,JEREMIAH GARRETT PINGUELO,ROBIN D  LOPEZ,skipped,skipped,skipped
8 (8),18,Vote by Mail,29,1014-18-110,260100 (0055),110,1014,NICK PILCH,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ
8 (8),18,Vote by Mail,30,1014-18-5,260100 (0055),5,1014,JOHN ANTHONY MIKI,skipped,skipped,skipped,skipped
8 (8),18,Vote by Mail,31,1014-18-627,260100 (0055),627,1014,NICK PILCH,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO,ROBIN D  LOPEZ
8 (8),18,Vote by Mail,32,1014-18-522,260100 (0055),522,1014,NICK PILCH,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO,skipped
8 (8),18,Vote by Mail,33,1014-18-310,260100 (0055),310,1014,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH,JENNIFER HANSEN ROMERO,skipped
8 (8),18,Vote by Mail,34,1014-18-193,260100 (0055),193,1014,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO
8 (8),18,Vote by Mail,35,1014-18-135,260100 (0055),135,1014,JOHN ANTHONY MIKI,NICK PILCH,skipped,skipped,skipped
8 (8),18,Vote by Mail,36,1014-18-100,260100 (0055),100,1014,JOHN ANTHONY MIKI,skipped,skipped,skipped,skipped
8 (8),18,Vote by Mail,37,1014-18-653,260100 (0055),653,1014,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO,JOHN ANTHONY MIKI,NICK PILCH
8 (8),18,Vote by Mail,38,1014-18-652,260100 (0055),652,1014,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,NICK PILCH,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI
8 (8),18,Vote by Mail,39,1014-18-517,260100 (0055),517,1014,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO,JOHN ANTHONY MIKI,skipped,skipped
8 (8),18,Vote by Mail,40,1014-18-512,260100 (0055),512,1014,NICK PILCH,JOHN ANTHONY MIKI,skipped,skipped,skipped
8 (8),18,Vote by Mail,41,1014-18-397,260100 (0055),397,1014,NICK PILCH,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),18,Vote by Mail,42,1014-18-391,260100 (0055),391,1014,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,NICK PILCH,skipped,skipped
8 (8),18,Vote by Mail,43,1014-18-240,260100 (0055),240,1014,ROBIN D  LOPEZ,NICK PILCH,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI
8 (8),18,Vote by Mail,44,1014-18-125,260100 (0055),125,1014,ROBIN D  LOPEZ,NICK PILCH,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI
8 (8),18,Vote by Mail,45,1014-18-30,260100 (0055),30,1014,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ
8 (8),18,Vote by Mail,46,1014-18-637,260100 (0055),637,1014,ROBIN D  LOPEZ,NICK PILCH,JOHN ANTHONY MIKI,skipped,skipped
8 (8),18,Vote by Mail,47,1014-18-632,260100 (0055),632,1014,NICK PILCH,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO
8 (8),18,Vote by Mail,48,1014-18-492,260100 (0055),492,1014,ROBIN D  LOPEZ,skipped,skipped,skipped,skipped
8 (8),18,Vote by Mail,49,1014-18-366,260100 (0055),366,1014,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,NICK PILCH,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO
8 (8),18,Vote by Mail,50,1014-18-285,260100 (0055),285,1014,JENNIFER HANSEN ROMERO,skipped,skipped,skipped,skipped
8 (8),18,Vote by Mail,51,1014-18-145,260100 (0055),145,1014,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,skipped,skipped
8 (8),18,Vote by Mail,52,1014-18-35,260100 (0055),35,1014,JOHN ANTHONY MIKI,NICK PILCH,JENNIFER HANSEN ROMERO,skipped,skipped
8 (8),18,Vote by Mail,53,1014-18-644,260100 (0055),644,1014,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),18,Vote by Mail,54,1014-18-642,260100 (0055),642,1014,NICK PILCH,skipped,skipped,skipped,skipped
8 (8),18,Vote by Mail,55,1014-18-507,260100 (0055),507,1014,NICK PILCH,JOHN ANTHONY MIKI,skipped,skipped,skipped
8 (8),18,Vote by Mail,56,1014-18-361,260100 (0055),361,1014,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO,NICK PILCH
8 (8),18,Vote by Mail,57,1014-18-356,260100 (0055),356,1014,JOHN ANTHONY MIKI,JOHN ANTHONY MIKI,JOHN ANTHONY MIKI,JOHN ANTHONY MIKI,JOHN ANTHONY MIKI
8 (8),18,Vote by Mail,58,1014-18-290,260100 (0055),290,1014,JENNIFER HANSEN ROMERO,skipped,skipped,skipped,skipped
8 (8),18,Vote by Mail,59,1014-18-225,260100 (0055),225,1014,JOHN ANTHONY MIKI,JOHN ANTHONY MIKI,JOHN ANTHONY MIKI,JOHN ANTHONY MIKI,JOHN ANTHONY MIKI
8 (8),18,Vote by Mail,60,1014-18-40,260100 (0055),40,1014,JENNIFER HANSEN ROMERO,skipped,skipped,skipped,skipped
8 (8),18,Vote by Mail,61,1014-18-587,260100 (0055),587,1014,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH,JEREMIAH GARRETT PINGUELO
8 (8),18,Vote by Mail,62,1014-18-582,260100 (0055),582,1014,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO,skipped,skipped
8 (8),18,Vote by Mail,63,1014-18-577,260100 (0055),577,1014,JENNIFER HANSEN ROMERO,skipped,skipped,skipped,skipped
8 (8),18,Vote by Mail,64,1014-18-427,260100 (0055),427,1014,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,NICK PILCH,skipped,skipped
8 (8),18,Vote by Mail,65,1014-18-422,260100 (0055),422,1014,ROBIN D  LOPEZ,NICK PILCH,JEREMIAH GARRETT PINGUELO,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO
8 (8),18,Vote by Mail,66,1014-18-270,260100 (0055),270,1014,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,NICK PILCH,JEREMIAH GARRETT PINGUELO
8 (8),18,Vote by Mail,67,1014-18-265,260100 (0055),265,1014,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,NICK PILCH,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),18,Vote by Mail,68,1014-18-80,260100 (0055),80,1014,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,NICK PILCH,JEREMIAH GARRETT PINGUELO,ROBIN D  LOPEZ
8 (8),18,Vote by Mail,69,1014-18-60,260100 (0055),60,1014,ROBIN D  LOPEZ,NICK PILCH,JEREMIAH GARRETT PINGUELO,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO
8 (8),18,Vote by Mail,70,1014-18-597,260100 (0055),597,1014,NICK PILCH,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO
8 (8),18,Vote by Mail,71,1014-18-592,260100 (0055),592,1014,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,NICK PILCH,skipped
8 (8),18,Vote by Mail,72,1014-18-371,260100 (0055),371,1014,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH,skipped,skipped
8 (8),18,Vote by Mail,73,1014-18-280,260100 (0055),280,1014,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,skipped,skipped,skipped
8 (8),18,Vote by Mail,74,1014-18-161,260100 (0055),161,1014,JOHN ANTHONY MIKI,NICK PILCH,JENNIFER HANSEN ROMERO,skipped,skipped
8 (8),18,Vote by Mail,75,1014-18-105,260100 (0055),105,1014,NICK PILCH,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO
8 (8),18,Vote by Mail,76,1014-18-527,260100 (0055),527,1014,NICK PILCH,JEREMIAH GARRETT PINGUELO,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO
8 (8),18,Vote by Mail,77,1014-18-376,260100 (0055),376,1014,ROBIN D  LOPEZ,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH,JEREMIAH GARRETT PINGUELO
8 (8),18,Vote by Mail,78,1014-18-295,260100 (0055),295,1014,ROBIN D  LOPEZ,skipped,skipped,skipped,skipped
8 (8),18,Vote by Mail,79,1014-18-168,260100 (0055),168,1014,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,skipped,skipped
8 (8),18,Vote by Mail,80,1014-18-95,260100 (0055),95,1014,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,skipped,skipped,skipped
8 (8),18,Vote by Mail,81,1014-18-50,260100 (0055),50,1014,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,NICK PILCH,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),18,Vote by Mail,82,1014-18-606,260100 (0055),606,1014,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO,NICK PILCH,ROBIN D  LOPEZ
8 (8),18,Vote by Mail,83,1014-18-602,260100 (0055),602,1014,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO,NICK PILCH
8 (8),18,Vote by Mail,84,1014-18-482,260100 (0055),482,1014,NICK PILCH,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,skipped
8 (8),18,Vote by Mail,85,1014-18-351,260100 (0055),351,1014,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,skipped,skipped
8 (8),18,Vote by Mail,86,1014-18-163,260100 (0055),163,1014,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,skipped,skipped,skipped
8 (8),18,Vote by Mail,87,1014-18-120,260100 (0055),120,1014,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,NICK PILCH,JEREMIAH GARRETT PINGUELO
8 (8),18,Vote by Mail,88,1014-18-75,260100 (0055),75,1014,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO,NICK PILCH,ROBIN D  LOPEZ
8 (8),18,Vote by Mail,89,1014-18-477,260100 (0055),477,1014,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,NICK PILCH,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO
8 (8),18,Vote by Mail,90,1014-18-330,260100 (0055),330,1014,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,NICK PILCH,skipped,skipped
8 (8),18,Vote by Mail,91,1014-18-325,260100 (0055),325,1014,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO,NICK PILCH,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI
8 (8),18,Vote by Mail,92,1014-18-203,260100 (0055),203,1014,ROBIN D  LOPEZ,NICK PILCH,JOHN ANTHONY MIKI,skipped,skipped
8 (8),18,Vote by Mail,93,1014-18-70,260100 (0055),70,1014,JOHN ANTHONY MIKI,NICK PILCH,skipped,skipped,skipped
8 (8),18,Vote by Mail,94,1014-18-542,260100 (0055),542,1014,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,NICK PILCH,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO
8 (8),18,Vote by Mail,95,1014-18-537,260100 (0055),537,1014,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO,NICK PILCH,skipped
8 (8),18,Vote by Mail,96,1014-18-401,260100 (0055),401,1014,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,NICK PILCH,JEREMIAH GARRETT PINGUELO
8 (8),18,Vote by Mail,97,1014-18-305,260100 (0055),305,1014,JEREMIAH GARRETT PINGUELO,ROBIN D  LOPEZ,skipped,skipped,skipped
8 (8),18,Vote by Mail,98,1014-18-245,260100 (0055),245,1014,JOHN ANTHONY MIKI,overvote,JENNIFER HANSEN ROMERO,NICK PILCH,ROBIN D  LOPEZ
8 (8),18,Vote by Mail,99,1014-18-130,260100 (0055),130,1014,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,NICK PILCH,ROBIN D  LOPEZ,skipped
8 (8),18,Vote by Mail,100,1014-18-622,260100 (0055),622,1014,JENNIFER HANSEN ROMERO,skipped,skipped,skipped,skipped
8 (8),18,Vote by Mail,101,1014-18-617,260100 (0055),617,1014,overvote,skipped,skipped,skipped,skipped
8 (8),18,Vote by Mail,102,1014-18-497,260100 (0055),497,1014,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ
8 (8),18,Vote by Mail,103,1014-18-411,260100 (0055),411,1014,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH,JEREMIAH GARRETT PINGUELO,skipped
8 (8),18,Vote by Mail,104,1014-18-300,260100 (0055),300,1014,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,NICK PILCH,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),18,Vote by Mail,105,1014-18-173,260100 (0055),173,1014,JENNIFER HANSEN ROMERO,NICK PILCH,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,skipped
8 (8),18,Vote by Mail,107,1014-18-386,260100 (0055),386,1014,ROBIN D  LOPEZ,NICK PILCH,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO
8 (8),18,Vote by Mail,108,1014-18-178,260100 (0055),178,1014,JENNIFER HANSEN ROMERO,NICK PILCH,JOHN ANTHONY MIKI,skipped,skipped
8 (8),18,Vote by Mail,112,1014-18-45,260100 (0055),45,1014,NICK PILCH,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO,Write in
8 (8),18,Vote by Mail,118,1014-18-385,260100 (0055),385,1014,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH,skipped,skipped
8 (8),18,Vote by Mail,121,1014-18-198,260100 (0055),198,1014,Write in,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO
8 (8),18,Vote by Mail,125,1014-18-235,260100 (0055),235,1014,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO,skipped
8 (8),18,Vote by Mail,127,1014-18-230,260100 (0055),230,1014,NICK PILCH,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,skipped,skipped
8 (8),30,Vote by Mail,132,1003-30-489,260100 (0055),489,1003,NICK PILCH,JOHN ANTHONY MIKI,overvote,JENNIFER HANSEN ROMERO,skipped
8 (8),30,Vote by Mail,133,1003-30-332,260100 (0055),332,1003,JEREMIAH GARRETT PINGUELO,skipped,skipped,skipped,skipped
8 (8),30,Vote by Mail,134,1003-30-200,260100 (0055),200,1003,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,NICK PILCH,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),30,Vote by Mail,135,1003-30-10,260100 (0055),10,1003,ROBIN D  LOPEZ,NICK PILCH,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI
8 (8),30,Vote by Mail,136,1003-30-410,260100 (0055),410,1003,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,NICK PILCH,JEREMIAH GARRETT PINGUELO,ROBIN D  LOPEZ
8 (8),30,Vote by Mail,137,1003-30-307,260100 (0055),307,1003,NICK PILCH,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,skipped,skipped
8 (8),30,Vote by Mail,138,1003-30-232,260100 (0055),232,1003,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),30,Vote by Mail,139,1003-30-130,260100 (0055),130,1003,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ
8 (8),30,Vote by Mail,140,1003-30-90,260100 (0055),90,1003,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO,NICK PILCH,ROBIN D  LOPEZ
8 (8),30,Vote by Mail,141,1003-30-5,260100 (0055),5,1003,NICK PILCH,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO
8 (8),30,Vote by Mail,142,1003-30-579,260100 (0055),579,1003,JENNIFER HANSEN ROMERO,skipped,skipped,skipped,overvote
8 (8),30,Vote by Mail,143,1003-30-577,260100 (0055),577,1003,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO
8 (8),30,Vote by Mail,144,1003-30-570,260100 (0055),570,1003,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO,NICK PILCH,ROBIN D  LOPEZ
8 (8),30,Vote by Mail,145,1003-30-446,260100 (0055),446,1003,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,NICK PILCH,JEREMIAH GARRETT PINGUELO,ROBIN D  LOPEZ
8 (8),30,Vote by Mail,146,1003-30-441,260100 (0055),441,1003,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,skipped,skipped,skipped
8 (8),30,Vote by Mail,147,1003-30-436,260100 (0055),436,1003,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,skipped,skipped,skipped
8 (8),30,Vote by Mail,148,1003-30-431,260100 (0055),431,1003,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,NICK PILCH,JEREMIAH GARRETT PINGUELO
8 (8),30,Vote by Mail,149,1003-30-342,260100 (0055),342,1003,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO,NICK PILCH,JENNIFER HANSEN ROMERO
8 (8),30,Vote by Mail,150,1003-30-278,260100 (0055),278,1003,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),30,Vote by Mail,151,1003-30-273,260100 (0055),273,1003,JOHN ANTHONY MIKI,skipped,skipped,skipped,overvote
8 (8),30,Vote by Mail,152,1003-30-214,260100 (0055),214,1003,NICK PILCH,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO
8 (8),30,Vote by Mail,153,1003-30-209,260100 (0055),209,1003,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),30,Vote by Mail,154,1003-30-160,260100 (0055),160,1003,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO,NICK PILCH,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO
8 (8),30,Vote by Mail,155,1003-30-125,260100 (0055),125,1003,NICK PILCH,JEREMIAH GARRETT PINGUELO,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ
8 (8),30,Vote by Mail,156,1003-30-85,260100 (0055),85,1003,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,NICK PILCH,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO
8 (8),30,Vote by Mail,157,1003-30-26,260100 (0055),26,1003,NICK PILCH,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO
8 (8),30,Vote by Mail,158,1003-30-544,260100 (0055),544,1003,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,NICK PILCH,JEREMIAH GARRETT PINGUELO,ROBIN D  LOPEZ
8 (8),30,Vote by Mail,159,1003-30-327,260100 (0055),327,1003,NICK PILCH,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,skipped
8 (8),30,Vote by Mail,160,1003-30-256,260100 (0055),256,1003,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO,NICK PILCH
8 (8),30,Vote by Mail,161,1003-30-180,260100 (0055),180,1003,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO,NICK PILCH,ROBIN D  LOPEZ,JOHN ANTHONY MIKI
8 (8),30,Vote by Mail,162,1003-30-95,260100 (0055),95,1003,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,skipped,skipped
