ballotID,precinctPortion,ballot_type,countingGroup,precinct,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10
00119_00000_245123,106,Ballot 16 - Type 16,Early,106,GREGORY Z SMITH,WILLIAM BILL MATTIACE,ISABELLA SOLIS,EUGENIA (GINA) MONTOYA ORTEGA,BEV COURTNEY,JESUSITA DOLORES LUCERO,MIKE A TELLEZ,ALEXANDER PAIGE FRESQUEZ,JORGE SANCHEZ,KEN MIYAGISHIMA
00119_00000_716008,069,Ballot 20 - Type 20,Early,069,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_207574,116,Ballot 16 - Type 16,Early,116,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_714875,102,Ballot 16 - Type 16,Early,102,GREGORY Z SMITH,KEN MIYAGISHIMA,WILLIAM BILL MATTIACE,skipped,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_734793,102,Ballot 16 - Type 16,Early,102,EUGENIA (GINA) MONTOYA ORTEGA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_447549,116,Ballot 16 - Type 16,Early,116,MIKE A TELLEZ,ISABELLA SOLIS,BEV COURTNEY,JESUSITA DOLORES LUCERO,WILLIAM BILL MATTIACE,JORGE SANCHEZ,EUGENIA (GINA) MONTOYA ORTEGA,ALEXANDER PAIGE FRESQUEZ,GREGORY Z SMITH,KEN MIYAGISHIMA
00119_00000_180024,112,Ballot 16 - Type 16,Early,112,WILLIAM BILL MATTIACE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_911320,116,Ballot 16 - Type 16,Early,116,KEN MIYAGISHIMA,GREGORY Z SMITH,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_407518,112,Ballot 16 - Type 16,Early,112,WILLIAM BILL MATTIACE,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_168891,117.001,Ballot 16 - Type 16,Early,117,MIKE A TELLEZ,BEV COURTNEY,JESUSITA DOLORES LUCERO,WILLIAM BILL MATTIACE,ISABELLA SOLIS,skipped,skipped,skipped,skipped,skipped
00119_00000_955360,102,Ballot 16 - Type 16,Early,102,KEN MIYAGISHIMA,ISABELLA SOLIS,GREGORY Z SMITH,EUGENIA (GINA) MONTOYA ORTEGA,WILLIAM BILL MATTIACE,JORGE SANCHEZ,ALEXANDER PAIGE FRESQUEZ,JESUSITA DOLORES LUCERO,BEV COURTNEY,MIKE A TELLEZ
00119_00000_868500,062,Ballot 17 - Type 17,Early,062,GREGORY Z SMITH,KEN MIYAGISHIMA,ALEXANDER PAIGE FRESQUEZ,skipped,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_102536,116,Ballot 16 - Type 16,Early,116,MIKE A TELLEZ,WILLIAM BILL MATTIACE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_594705,062,Ballot 17 - Type 17,Early,062,WILLIAM BILL MATTIACE,GREGORY Z SMITH,MIKE A TELLEZ,KEN MIYAGISHIMA,BEV COURTNEY,ALEXANDER PAIGE FRESQUEZ,skipped,skipped,skipped,skipped
00119_00000_656302,116,Ballot 16 - Type 16,Early,116,KEN MIYAGISHIMA,ISABELLA SOLIS,EUGENIA (GINA) MONTOYA ORTEGA,skipped,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_079488,102,Ballot 16 - Type 16,Early,102,ISABELLA SOLIS,MIKE A TELLEZ,BEV COURTNEY,JESUSITA DOLORES LUCERO,WILLIAM BILL MATTIACE,EUGENIA (GINA) MONTOYA ORTEGA,JORGE SANCHEZ,ALEXANDER PAIGE FRESQUEZ,GREGORY Z SMITH,KEN MIYAGISHIMA
00119_00000_459652,105.002,Ballot 17 - Type 17,Early,105,GREGORY Z SMITH,KEN MIYAGISHIMA,WILLIAM BILL MATTIACE,ISABELLA SOLIS,MIKE A TELLEZ,JESUSITA DOLORES LUCERO,ALEXANDER PAIGE FRESQUEZ,MIKE A TELLEZ,EUGENIA (GINA) MONTOYA ORTEGA,JORGE SANCHEZ
00119_00000_855521,102,Ballot 16 - Type 16,Early,102,KEN MIYAGISHIMA,GREGORY Z SMITH,WILLIAM BILL MATTIACE,MIKE A TELLEZ,JESUSITA DOLORES LUCERO,ALEXANDER PAIGE FRESQUEZ,EUGENIA (GINA) MONTOYA ORTEGA,ISABELLA SOLIS,JORGE SANCHEZ,BEV COURTNEY
