Cast Vote Record,Precinct,Ballot Style,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11
55,Portland Absentee,Ballot Style 4,"Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Emerson, Anthony M.","Grant, Benjamin K.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote
56,Portland Absentee,Ballot Style 5,"DiMillo, Steven A.","Chann, Marpheen S.","Houseal, Ian P.","Bailey, William M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
57,Portland Absentee,Ballot Style 5,"Grant, Benjamin K.","Chann, Marpheen S.","Condrey, Lawson T.","Houseal, Ian P.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
58,Portland Absentee,Ballot Style 4,"Chann, Marpheen S.","DiMillo, Steven A.","Grant, Benjamin K.","Bailey, William M.","Houseal, Ian P.","Condrey, Lawson T.","Buxton, Catherine A.","Emerson, Anthony M.","Rovelto, Hope R.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J."
59,Portland Absentee,Ballot Style 4,"Bailey, William M.","Houseal, Ian P.","DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
60,Portland Absentee,Ballot Style 5,"DiMillo, Steven A.","Grant, Benjamin K.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
61,Portland Absentee,Ballot Style 2,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Condrey, Lawson T.","Washburn, Patricia J.","Emerson, Anthony M.","Grant, Benjamin K.","Chann, Marpheen S.",undervote,undervote,undervote,undervote
62,Portland Absentee,Ballot Style 4,"Houseal, Ian P.","DiMillo, Steven A.","Bailey, William M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,"Grant, Benjamin K."
63,Portland Absentee,Ballot Style 1,"Houseal, Ian P.","DiMillo, Steven A.","Bailey, William M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
64,Portland Absentee,Ballot Style 4,"Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Chann, Marpheen S.","Buxton, Catherine A.","Washburn, Patricia J.","Condrey, Lawson T.","Grant, Benjamin K.","Houseal, Ian P.","DiMillo, Steven A.","Bailey, William M.","Rovelto, Hope R."
65,Portland Absentee,Ballot Style 1,"Grant, Benjamin K.","Houseal, Ian P.","Emerson, Anthony M.","Condrey, Lawson T.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
66,Portland Absentee,Ballot Style 4,"DiMillo, Steven A.","Grant, Benjamin K.","Houseal, Ian P.","Condrey, Lawson T.","Chann, Marpheen S.","Bailey, William M.","Buxton, Catherine A.","Emerson, Anthony M.","Rovelto, Hope R.","Sheikh-Yousef, Nasreen A.",overvote
67,Portland Absentee,Ballot Style 2,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Emerson, Anthony M.","Washburn, Patricia J.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
68,Portland Absentee,Ballot Style 4,"Chann, Marpheen S.","DiMillo, Steven A.","Houseal, Ian P.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
69,Portland Absentee,Ballot Style 5,"Grant, Benjamin K.","Bailey, William M.","Buxton, Catherine A.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
70,Portland Absentee,Ballot Style 5,"Houseal, Ian P.","Chann, Marpheen S.","Condrey, Lawson T.","DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
71,Portland Absentee,Ballot Style 3,"DiMillo, Steven A.","Chann, Marpheen S.","Bailey, William M.","Houseal, Ian P.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
72,Portland Absentee,Ballot Style 3,"Grant, Benjamin K.","Chann, Marpheen S.","Condrey, Lawson T.","Houseal, Ian P.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
73,Portland Absentee,Ballot Style 3,"DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
74,Portland Absentee,Ballot Style 4,"Washburn, Patricia J.","Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
75,Portland Absentee,Ballot Style 1,"Emerson, Anthony M.","Washburn, Patricia J.","Condrey, Lawson T.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Grant, Benjamin K.","Houseal, Ian P.",undervote,undervote,undervote,undervote
76,Portland Absentee,Ballot Style 4,"Houseal, Ian P.","Grant, Benjamin K.","Buxton, Catherine A.","Condrey, Lawson T.","Washburn, Patricia J.","Bailey, William M.","Chann, Marpheen S.","DiMillo, Steven A.","Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.",undervote
77,Portland Absentee,Ballot Style 1,"Houseal, Ian P.","DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
78,Portland Absentee,Ballot Style 1,"Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
79,Portland Absentee,Ballot Style 3,overvote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
80,Portland Absentee,Ballot Style 5,"Grant, Benjamin K.","Washburn, Patricia J.","Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.",undervote,undervote,undervote,undervote,undervote,undervote
81,Portland Absentee,Ballot Style 3,"Chann, Marpheen S.","Grant, Benjamin K.","Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Condrey, Lawson T.","Emerson, Anthony M.",undervote,undervote,undervote,undervote
82,Portland Absentee,Ballot Style 4,"Chann, Marpheen S.","Grant, Benjamin K.","Washburn, Patricia J.","Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Houseal, Ian P.","Condrey, Lawson T.",undervote,undervote,undervote,undervote
83,Portland Absentee,Ballot Style 3,"DiMillo, Steven A.","Bailey, William M.","Houseal, Ian P.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
84,Portland Absentee,Ballot Style 4,"Buxton, Catherine A.","Emerson, Anthony M.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
85,Portland Absentee,Ballot Style 5,"Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Grant, Benjamin K.","Buxton, Catherine A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
86,Portland Absentee,Ballot Style 5,"Buxton, Catherine A.","Chann, Marpheen S.","Grant, Benjamin K.","Emerson, Anthony M.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.",undervote,undervote,undervote,undervote,undervote
87,Portland Absentee,Ballot Style 1,"Chann, Marpheen S.","DiMillo, Steven A.","Sheikh-Yousef, Nasreen A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
88,Portland Absentee,Ballot Style 3,"Houseal, Ian P.","Condrey, Lawson T.","Buxton, Catherine A.","Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.","Chann, Marpheen S.","Grant, Benjamin K.",undervote,undervote,undervote,undervote
89,Portland Absentee,Ballot Style 2,"Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Grant, Benjamin K.","Condrey, Lawson T.","Emerson, Anthony M.",undervote,undervote,undervote,undervote,undervote
90,Portland Absentee,Ballot Style 2,"Buxton, Catherine A.","Chann, Marpheen S.",undervote,"Grant, Benjamin K.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
91,Portland Absentee,Ballot Style 4,"DiMillo, Steven A.","Bailey, William M.","Houseal, Ian P.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
92,Portland Absentee,Ballot Style 4,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Chann, Marpheen S.","Emerson, Anthony M.","Grant, Benjamin K.",undervote,undervote,undervote,undervote,undervote,undervote
93,Portland Absentee,Ballot Style 3,"Chann, Marpheen S.","Grant, Benjamin K.","Washburn, Patricia J.","Emerson, Anthony M.","Sheikh-Yousef, Nasreen A.",undervote,undervote,undervote,undervote,undervote,undervote
94,Portland Absentee,Ballot Style 4,"Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Washburn, Patricia J.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
95,Portland Absentee,Ballot Style 5,"Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
96,Portland Absentee,Ballot Style 3,"Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Buxton, Catherine A.","Grant, Benjamin K.",undervote,undervote,undervote,undervote,undervote,undervote
97,Portland Absentee,Ballot Style 4,"Chann, Marpheen S.","Grant, Benjamin K.","Houseal, Ian P.","Washburn, Patricia J.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
98,Portland Absentee,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Emerson, Anthony M.","Washburn, Patricia J.","Condrey, Lawson T.","Rovelto, Hope R.","Houseal, Ian P.","Grant, Benjamin K.","DiMillo, Steven A.","Bailey, William M.","Chann, Marpheen S."
99,Portland Absentee,Ballot Style 4,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
100,Portland Absentee,Ballot Style 4,"Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Emerson, Anthony M.","Condrey, Lawson T.",undervote,undervote,undervote,undervote,undervote,undervote
101,Portland Absentee,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Grant, Benjamin K.","Chann, Marpheen S.","Condrey, Lawson T.",undervote,undervote,undervote,undervote,undervote,undervote
102,Portland Absentee,Ballot Style 3,"DiMillo, Steven A.","Grant, Benjamin K.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
103,Portland Absentee,Ballot Style 2,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.",undervote,"Washburn, Patricia J.","Condrey, Lawson T.","Grant, Benjamin K.",undervote,undervote,undervote,undervote,undervote
104,Portland Absentee,Ballot Style 2,"Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Emerson, Anthony M.","Condrey, Lawson T.","Grant, Benjamin K.","Chann, Marpheen S.",undervote,undervote,undervote,undervote
105,Portland Absentee,Ballot Style 3,"Houseal, Ian P.","Condrey, Lawson T.","Grant, Benjamin K.","DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
106,Portland Absentee,Ballot Style 3,"Emerson, Anthony M.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Washburn, Patricia J.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote
107,Portland Absentee,Ballot Style 4,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Buxton, Catherine A.","Emerson, Anthony M.","Grant, Benjamin K.","Condrey, Lawson T.",undervote,undervote,undervote,undervote,undervote
108,Portland Absentee,Ballot Style 3,"Condrey, Lawson T.","Grant, Benjamin K.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Washburn, Patricia J.","Emerson, Anthony M.","Houseal, Ian P.","Bailey, William M.","Chann, Marpheen S.","DiMillo, Steven A.",undervote
109,Portland Absentee,Ballot Style 5,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
110,Portland Absentee,Ballot Style 1,"Chann, Marpheen S.","Houseal, Ian P.","Bailey, William M.","Grant, Benjamin K.","Emerson, Anthony M.","DiMillo, Steven A.","Condrey, Lawson T.","Buxton, Catherine A.","Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.",undervote
111,Portland Absentee,Ballot Style 4,"Grant, Benjamin K.","Condrey, Lawson T.","Chann, Marpheen S.","Buxton, Catherine A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
112,Portland Absentee,Ballot Style 2,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Chann, Marpheen S.","Buxton, Catherine A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
113,Portland Absentee,Ballot Style 2,"Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Emerson, Anthony M.","Condrey, Lawson T.",undervote,undervote,undervote,undervote,undervote,undervote
114,Portland Absentee,Ballot Style 3,"Chann, Marpheen S.","Grant, Benjamin K.","Sheikh-Yousef, Nasreen A.","Houseal, Ian P.","Bailey, William M.","Condrey, Lawson T.",undervote,"Buxton, Catherine A.","DiMillo, Steven A.","Washburn, Patricia J.","Emerson, Anthony M."
115,Portland Absentee,Ballot Style 4,"Buxton, Catherine A.","Emerson, Anthony M.","Sheikh-Yousef, Nasreen A.","Condrey, Lawson T.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
116,Portland Absentee,Ballot Style 5,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
117,Portland Absentee,Ballot Style 1,"Chann, Marpheen S.","Houseal, Ian P.","Condrey, Lawson T.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Buxton, Catherine A.","Grant, Benjamin K.",undervote,undervote,undervote,undervote
118,Portland Absentee,Ballot Style 2,overvote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
119,Portland Absentee,Ballot Style 2,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Buxton, Catherine A.","Chann, Marpheen S.","Condrey, Lawson T.","Emerson, Anthony M.","Houseal, Ian P.","Grant, Benjamin K.",undervote,undervote,undervote
120,Portland Absentee,Ballot Style 3,"Chann, Marpheen S.","Grant, Benjamin K.","Sheikh-Yousef, Nasreen A.","Condrey, Lawson T.","Buxton, Catherine A.","Washburn, Patricia J.",undervote,undervote,undervote,undervote,undervote
121,Portland Absentee,Ballot Style 1,"Washburn, Patricia J.","Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Buxton, Catherine A.","Chann, Marpheen S.","Condrey, Lawson T.","Grant, Benjamin K.",undervote,undervote,undervote,undervote
122,Portland Absentee,Ballot Style 1,"Sheikh-Yousef, Nasreen A.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
123,Portland Absentee,Ballot Style 2,"DiMillo, Steven A.","Grant, Benjamin K.","Houseal, Ian P.","Washburn, Patricia J.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote
124,Portland Absentee,Ballot Style 3,"Chann, Marpheen S.","Houseal, Ian P.","Grant, Benjamin K.","DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
125,Portland Absentee,Ballot Style 4,"Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Washburn, Patricia J.","Buxton, Catherine A.","Condrey, Lawson T.",undervote,undervote,undervote,undervote,undervote,undervote
126,Portland Absentee,Ballot Style 1,"DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
127,Portland Absentee,Ballot Style 3,"Houseal, Ian P.","Buxton, Catherine A.","Chann, Marpheen S.","Grant, Benjamin K.","Bailey, William M.",undervote,undervote,undervote,undervote,undervote,undervote
128,Portland Absentee,Ballot Style 5,"Bailey, William M.","DiMillo, Steven A.","Houseal, Ian P.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
129,Portland Absentee,Ballot Style 5,overvote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
130,Portland Absentee,Ballot Style 3,"Condrey, Lawson T.","Buxton, Catherine A.","Emerson, Anthony M.","Houseal, Ian P.","Chann, Marpheen S.","Grant, Benjamin K.","Sheikh-Yousef, Nasreen A.","Bailey, William M.","Washburn, Patricia J.","DiMillo, Steven A.",undervote
131,Portland Absentee,Ballot Style 4,"Grant, Benjamin K.","Condrey, Lawson T.","Chann, Marpheen S.","Washburn, Patricia J.","Buxton, Catherine A.","Emerson, Anthony M.","Sheikh-Yousef, Nasreen A.",undervote,undervote,undervote,undervote
132,Portland Absentee,Ballot Style 2,"Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Grant, Benjamin K.","Washburn, Patricia J.","Condrey, Lawson T.","Buxton, Catherine A.","Houseal, Ian P.",undervote,"Emerson, Anthony M.","Bailey, William M.","DiMillo, Steven A."
133,Portland Absentee,Ballot Style 4,"Houseal, Ian P.","Buxton, Catherine A.","Condrey, Lawson T.","Grant, Benjamin K.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
134,Portland Absentee,Ballot Style 4,"DiMillo, Steven A.","Bailey, William M.","Grant, Benjamin K.","Condrey, Lawson T.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
135,Portland Absentee,Ballot Style 5,"Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Chann, Marpheen S.","Washburn, Patricia J.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
136,Portland Absentee,Ballot Style 2,"DiMillo, Steven A.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
137,Portland Absentee,Ballot Style 4,"Sheikh-Yousef, Nasreen A.","Chann, Marpheen S.","Bailey, William M.","Emerson, Anthony M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
138,Portland Absentee,Ballot Style 4,"DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
139,Portland Absentee,Ballot Style 5,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Buxton, Catherine A.","Chann, Marpheen S.","Grant, Benjamin K.",undervote,undervote,undervote,undervote,undervote,undervote
140,Portland Absentee,Ballot Style 5,"Grant, Benjamin K.","Condrey, Lawson T.","Houseal, Ian P.","Bailey, William M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
141,Portland Absentee,Ballot Style 5,"DiMillo, Steven A.","Bailey, William M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
142,Portland Absentee,Ballot Style 5,"Grant, Benjamin K.","Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
143,Portland Absentee,Ballot Style 5,"Grant, Benjamin K.","Chann, Marpheen S.","Buxton, Catherine A.","Houseal, Ian P.","Condrey, Lawson T.",undervote,undervote,undervote,undervote,undervote,undervote
144,Portland Absentee,Ballot Style 3,"Bailey, William M.","DiMillo, Steven A.","Chann, Marpheen S.","Houseal, Ian P.","Emerson, Anthony M.",undervote,undervote,undervote,undervote,undervote,undervote
145,Portland Absentee,Ballot Style 1,"Buxton, Catherine A.","Grant, Benjamin K.","Chann, Marpheen S.","Condrey, Lawson T.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
146,Portland Absentee,Ballot Style 4,"DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
147,Portland Absentee,Ballot Style 5,"Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
148,Portland Absentee,Ballot Style 2,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
149,Portland Absentee,Ballot Style 5,"DiMillo, Steven A.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
150,Portland Absentee,Ballot Style 4,"Buxton, Catherine A.","Condrey, Lawson T.","DiMillo, Steven A.","Grant, Benjamin K.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
151,Portland Absentee,Ballot Style 2,"DiMillo, Steven A.","Bailey, William M.","Houseal, Ian P.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
152,Portland Absentee,Ballot Style 3,"Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
153,Portland Absentee,Ballot Style 4,"DiMillo, Steven A.","Bailey, William M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
154,Portland Absentee,Ballot Style 4,"Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Grant, Benjamin K.","Washburn, Patricia J.","Emerson, Anthony M.","Buxton, Catherine A.","DiMillo, Steven A.","Condrey, Lawson T.",undervote,undervote,undervote
155,Portland Absentee,Ballot Style 3,"Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Buxton, Catherine A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
156,Portland Absentee,Ballot Style 3,"Emerson, Anthony M.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Washburn, Patricia J.","Chann, Marpheen S.","Houseal, Ian P.","Grant, Benjamin K.","Condrey, Lawson T.",undervote,undervote,undervote
